hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,rsTrn,rsTst,model,dataset
32,2,3,relu,Dense,1024,64,1,0.21739130434782608,0.9788732394499999,0.3889984066404839,0.5724218084328108,svae,breast-cancer-wisconsin
32,2,3,relu,Dense,1024,64,2,0.6779661016949152,0.9929577465,0.3889984066404839,0.5724218084328108,svae,breast-cancer-wisconsin
32,2,3,relu,Dense,1024,64,3,0.7619047619047619,0.9929577465,0.3889984066404839,0.5724218084328108,svae,breast-cancer-wisconsin
32,2,3,relu,Dense,1024,64,4,0.5185185185185185,0.9836916234413825,0.3889984066404839,0.5724218084328108,svae,breast-cancer-wisconsin
32,2,3,relu,Dense,1024,64,5,0.5454545454545454,0.979243884372739,0.3889984066404839,0.5724218084328108,svae,breast-cancer-wisconsin
32,4,3,relu,Dense,1024,64,1,0.9444444444444444,1.0,0.24321226551119685,0.4065888215260292,svae,breast-cancer-wisconsin
32,4,3,relu,Dense,1024,64,2,0.972972972972973,0.9996293550792809,0.24321226551119685,0.4065888215260292,svae,breast-cancer-wisconsin
32,4,3,relu,Dense,1024,64,3,0.935064935064935,0.9970348406243329,0.24321226551119685,0.4065888215260292,svae,breast-cancer-wisconsin
32,4,3,relu,Dense,1024,64,4,0.961038961038961,0.9990733876938102,0.24321226551119685,0.4065888215260292,svae,breast-cancer-wisconsin
32,4,3,relu,Dense,1024,64,5,0.9743589743589743,0.9994440326185693,0.24321226551119685,0.4065888215260292,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,64,1,0.1,1.0,0.16113894732258366,0.2821356510196366,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,64,2,0.78125,0.9814677539010007,0.16113894732258366,0.2821356510196366,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,64,3,0.7671232876712328,0.9532987398096923,0.16113894732258366,0.2821356510196366,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,64,4,0.6956521739130435,0.9421793921446627,0.16113894732258366,0.2821356510196366,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,64,5,0.75,0.9890659747996294,0.16113894732258366,0.2821356510196366,svae,breast-cancer-wisconsin
32,2,3,relu,Dense,1024,64,1,0.5161290322580645,0.6962809917053719,0.46595932030967074,0.8082100928265066,svae,sonar
32,2,3,relu,Dense,1024,64,2,0.4444444444444444,0.7458677685776859,0.46595932030967074,0.8082100928265066,svae,sonar
32,2,3,relu,Dense,1024,64,3,0.6060606060606061,0.6921487603103306,0.46595932030967074,0.8082100928265066,svae,sonar
32,2,3,relu,Dense,1024,64,4,0.5333333333333333,0.6838842975157026,0.46595932030967074,0.8082100928265066,svae,sonar
32,2,3,relu,Dense,1024,64,5,0.4827586206896552,0.7086776859450413,0.46595932030967074,0.8082100928265066,svae,sonar
32,4,3,relu,Dense,1024,64,1,0.5454545454545454,0.7995867768586776,0.3294516171039692,0.7366216960935053,svae,sonar
