"hidden","latent","layers","nonlinearity","layertype","memorysize","k","β","anomaliesSeen","f1","auc","rsTrn","rsTst","knnauc","knnprec","knnrecall","model","dataset"
32,2,3,"relu","Dense",1024,16,0.01,1,0.10344827586206896,0.9332839140103779,0.41906157924530224,0.6737437125440561,0.9269829503335804,0.25,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,2,0.2777777777777778,0.9605263157894737,0.41906157924530224,0.6737437125440561,0.9269829503335804,0.25,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,3,0.34210526315789475,0.9671979243884359,0.41906157924530224,0.6737437125440561,0.9269829503335804,0.25,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,4,0.22580645161290322,0.950889547813195,0.41906157924530224,0.6737437125440561,0.9269829503335804,0.25,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,5,0.2535211267605634,0.954225352112676,0.41906157924530224,0.6737437125440561,0.9269829503335804,0.25,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,1,0.2857142857142857,0.9907338769458858,0.2369218224655994,0.4098575012516046,0.9768346923647147,0.5555555555555556,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,2,0.27586206896551724,0.9670126019273535,0.2369218224655994,0.4098575012516046,0.9768346923647147,0.5555555555555556,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,3,0.25396825396825395,0.9822090437361009,0.2369218224655994,0.4098575012516046,0.9768346923647147,0.5555555555555556,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,4,0.29411764705882354,0.9762787249814677,0.2369218224655994,0.4098575012516046,0.9768346923647147,0.5555555555555556,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,5,0.2222222222222222,0.9760934025203856,0.2369218224655994,0.4098575012516046,0.9768346923647147,0.5555555555555556,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,1,0.39080459770114945,0.9933283914010378,0.18626459678021273,0.30249133947803125,0.9835063009636769,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,2,0.4,0.9940696812453669,0.18626459678021273,0.30249133947803125,0.9835063009636769,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,3,0.3855421686746988,0.9888806523350631,0.18626459678021273,0.30249133947803125,0.9835063009636769,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,4,0.2608695652173913,0.9940696812453669,0.18626459678021273,0.30249133947803125,0.9835063009636769,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,5,0.40963855421686746,0.9933283914010378,0.18626459678021273,0.30249133947803125,0.9835063009636769,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,1,0.2972972972972973,0.9759080800593032,0.42535941393532906,0.6177445013864258,0.9466271312083026,0.7142857142857143,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,2,0.32432432432432434,0.9785025945144551,0.42535941393532906,0.6177445013864258,0.9466271312083026,0.7142857142857143,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,3,0.23880597014925373,0.9688658265381764,0.42535941393532906,0.6177445013864258,0.9466271312083026,0.7142857142857143,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,4,0.3132530120481928,0.9918458117123795,0.42535941393532906,0.6177445013864258,0.9466271312083026,0.7142857142857143,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,5,0.3076923076923077,0.9381022979985173,0.42535941393532906,0.6177445013864258,0.9466271312083026,0.7142857142857143,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,1,0.2857142857142857,0.9610822831727205,0.33795961790550477,0.48637064737430585,0.9740548554484804,0.2,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,2,0.2318840579710145,0.9825796886582654,0.33795961790550477,0.48637064737430585,0.9740548554484804,0.2,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,3,0.3333333333333333,0.9621942179392142,0.33795961790550477,0.48637064737430585,0.9740548554484804,0.2,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,4,0.3888888888888889,0.9716456634544106,0.33795961790550477,0.48637064737430585,0.9740548554484804,0.2,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,5,0.38461538461538464,0.9607116382505558,0.33795961790550477,0.48637064737430585,0.9740548554484804,0.2,0.02631578947368421,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.05,1,0.273972602739726,0.9464418087472203,0.47198270604911197,0.6381395630493167,0.933283914010378,0.4,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.05,2,0.3132530120481928,0.9123424759080802,0.47198270604911197,0.6381395630493167,0.933283914010378,0.4,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.05,3,0.3058823529411765,0.966641957005189,0.47198270604911197,0.6381395630493167,0.933283914010378,0.4,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.05,4,0.32432432432432434,0.9655300222386953,0.47198270604911197,0.6381395630493167,0.933283914010378,0.4,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.05,5,0.2894736842105263,0.9318013343217197,0.47198270604911197,0.6381395630493167,0.933283914010378,0.4,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.1,1,0.2318840579710145,0.9253150481838399,0.5355704287356663,0.6736684913525162,0.8050407709414382,0.8333333333333334,0.2631578947368421,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.1,2,0.2,0.9508895478131949,0.5355704287356663,0.6736684913525162,0.8050407709414382,0.8333333333333334,0.2631578947368421,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.1,3,0.28205128205128205,0.9590437361008154,0.5355704287356663,0.6736684913525162,0.8050407709414382,0.8333333333333334,0.2631578947368421,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.1,4,0.30303030303030304,0.9399555226093401,0.5355704287356663,0.6736684913525162,0.8050407709414382,0.8333333333333334,0.2631578947368421,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.1,5,0.3132530120481928,0.9369903632320236,0.5355704287356663,0.6736684913525162,0.8050407709414382,0.8333333333333334,0.2631578947368421,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.1,1,0.358974358974359,0.9343958487768718,0.5540787658190782,0.6935815643962578,0.8495181616011861,0.4666666666666667,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.1,2,0.1694915254237288,0.9206819866567827,0.5540787658190782,0.6935815643962578,0.8495181616011861,0.4666666666666667,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.1,3,0.19047619047619047,0.9440326167531505,0.5540787658190782,0.6935815643962578,0.8495181616011861,0.4666666666666667,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.1,4,0.32098765432098764,0.9114158636026686,0.5540787658190782,0.6935815643962578,0.8495181616011861,0.4666666666666667,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.1,5,0.32432432432432434,0.9447739065974796,0.5540787658190782,0.6935815643962578,0.8495181616011861,0.4666666666666667,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.1,1,0.16,0.4601556708673091,0.9537901650205008,1.177716050420339,0.5505930318754633,0.375,0.23684210526315788,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.1,2,0.13333333333333333,0.43254262416604894,0.9537901650205008,1.177716050420339,0.5505930318754633,0.375,0.23684210526315788,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.1,3,0.10526315789473684,0.4366197183098592,0.9537901650205008,1.177716050420339,0.5505930318754633,0.375,0.23684210526315788,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.1,4,0.1917808219178082,0.43106004447739066,0.9537901650205008,1.177716050420339,0.5505930318754633,0.375,0.23684210526315788,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.1,5,0.029411764705882353,0.4788732394366197,0.9537901650205008,1.177716050420339,0.5505930318754633,0.375,0.23684210526315788,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,1,0.09523809523809523,0.7644628099173555,0.519366753237288,0.7228379161379193,0.7933884297520661,0.6666666666666666,0.36363636363636365,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.01,2,0.09090909090909091,0.7334710743801653,0.519366753237288,0.7228379161379193,0.7933884297520661,0.6666666666666666,0.36363636363636365,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.01,3,0.0,0.671487603305785,0.519366753237288,0.7228379161379193,0.7933884297520661,0.6666666666666666,0.36363636363636365,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.01,4,0.08333333333333333,0.7644628099173554,0.519366753237288,0.7228379161379193,0.7933884297520661,0.6666666666666666,0.36363636363636365,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.01,5,0.0,0.6942148760330578,0.519366753237288,0.7228379161379193,0.7933884297520661,0.6666666666666666,0.36363636363636365,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.01,1,0.0,0.6838842975206612,0.4606516523649225,0.640459536252262,0.7603305785123966,0.5,0.36363636363636365,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.01,2,0.0,0.7830578512396695,0.4606516523649225,0.640459536252262,0.7603305785123966,0.5,0.36363636363636365,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.01,3,0.08333333333333333,0.7066115702479338,0.4606516523649225,0.640459536252262,0.7603305785123966,0.5,0.36363636363636365,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.01,4,0.0,0.7004132231404959,0.4606516523649225,0.640459536252262,0.7603305785123966,0.5,0.36363636363636365,"svae","sonar"
32,4,3,"relu","Dense",1024,16,0.01,5,0.17391304347826086,0.7396694214876033,0.4606516523649225,0.640459536252262,0.7603305785123966,0.5,0.36363636363636365,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.01,1,0.0,0.7355371900826446,0.5328906997651303,0.6170281415241154,0.9049586776859504,0.625,0.45454545454545453,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.01,2,0.08695652173913043,0.7644628099173554,0.5328906997651303,0.6170281415241154,0.9049586776859504,0.625,0.45454545454545453,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.01,3,0.08695652173913043,0.8925619834710744,0.5328906997651303,0.6170281415241154,0.9049586776859504,0.625,0.45454545454545453,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.01,4,0.0,0.7603305785123968,0.5328906997651303,0.6170281415241154,0.9049586776859504,0.625,0.45454545454545453,"svae","sonar"
32,8,3,"relu","Dense",1024,16,0.01,5,0.2222222222222222,0.859504132231405,0.5328906997651303,0.6170281415241154,0.9049586776859504,0.625,0.45454545454545453,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.05,1,0.08695652173913043,0.7706611570247934,0.5383167795445968,0.7074480169687197,0.7148760330578512,0.5625,0.8181818181818182,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.05,2,0.16,0.8037190082644627,0.5383167795445968,0.7074480169687197,0.7148760330578512,0.5625,0.8181818181818182,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.05,3,0.0,0.6983471074380165,0.5383167795445968,0.7074480169687197,0.7148760330578512,0.5625,0.8181818181818182,"svae","sonar"
32,2,3,"relu","Dense",1024,16,0.05,4,0.0,0.731404958677686,0.5383167795445968,0.7074480169687197,0.7148760330578512,0.5625,0.8181818181818182,"svae","sonar"
