dataset,m1auc,wassauc
abalone ,0.49536650679089905,0.5148152563667544
blood-transfusion ,0.45173886516168393,0.5963915279351522
breast-cancer-wisconsin ,0.46718009478672984,0.9659820958399157
cardiotocography 2-9,0.8268865567216391,0.9357321339330337
cardiotocography 2-6,0.3871053178230162,0.7240444536767761
cardiotocography 2-8,0.18733483725427008,0.8830486625845957
cardiotocography 2-10,0.7877559950988972,0.8422370033257482
cardiotocography 2-7,0.2834564860426929,0.7063697318007662
cardiotocography 2-1,0.5833827227011493,0.6937365301724138
cardiotocography 2-3,0.46232921275211447,0.53825634352635
cardiotocography 2-5,0.6398946360153257,0.7406848659003832
cardiotocography 2-4,0.4983397190293742,0.25623669646658154
ecoli cp-im,0.6022391401701748,0.9841468875951633
ecoli cp-imS,0.6206896551724139,0.9275862068965518
ecoli cp-imL,0.5793103448275863,1.0
ecoli cp-imU,0.8035467980295566,0.9889655172413793
ecoli cp-om,0.603103448275862,1.0
ecoli cp-omL,0.7724137931034483,1.0
ecoli cp-pp,0.7757294429708224,0.8250663129973475
gisette ,0.921132163265306,0.9597906938775511
glass 2-1,0.3539285714285714,0.30446428571428574
glass 2-3,0.25441176470588234,0.39264705882352946
glass 2-5,0.3625,0.29711538461538467
glass 2-6,0.19722222222222224,0.2652777777777778
glass 2-7,0.2693965517241379,0.7275862068965517
haberman ,0.4456515775034293,0.46639231824417005
ionosphere ,0.5493688888888889,0.6269866666666666
iris setosa-versicolor,1.0,1.0
isolet 1-2,0.9842777777777776,0.9844111111111111
isolet 1-3,0.9998666666666667,0.9999333333333332
isolet 1-4,0.9834999999999999,0.9808333333333332
isolet 1-5,0.9791444444444444,0.9814
isolet 1-6,1.0,1.0
isolet 1-7,0.9965111111111111,0.9963888888888889
isolet 1-8,0.9937999999999999,0.9924444444444444
isolet 1-9,1.0,1.0
isolet 1-10,0.9520333333333333,0.935211111111111
isolet 1-11,0.8879333333333334,0.8637888888888889
isolet 1-12,1.0,1.0
isolet 1-13,0.9840022296544035,0.9934671125975474
isolet 1-14,0.9933444444444446,0.9967111111111112
isolet 1-15,1.0,1.0
