hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,0.01,wass,0,0.7411294352823589,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.01,m1,0,0.8643178410794602,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.1,wass,0,0.806471764117941,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.1,m1,0,0.8726886556721639,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.5,wass,0,0.8489505247376312,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.5,m1,0,0.857696151924038,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,1.0,wass,0,0.8606946526736631,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,1.0,m1,0,0.8751874062968515,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,10.0,wass,0,0.8322088955522239,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,10.0,m1,0,0.8679410294852574,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.01,wass,0,0.6410544727636182,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.01,m1,0,0.8598200899550225,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.1,wass,0,0.8237131434282857,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.1,m1,0,0.8743128435782108,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.5,wass,0,0.8646926536731634,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.5,m1,0,0.8756871564217891,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,1.0,wass,0,0.8347076461769115,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,1.0,m1,0,0.8382058970514743,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,10.0,wass,0,0.8424537731134434,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,10.0,m1,0,0.8621939030484758,2,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.01,wass,0,0.8162168915542228,3,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.01,m1,0,0.8312093953023488,3,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.1,wass,0,0.8741879060469765,3,svae,cardiotocography 2-9
