hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,0.01,wass,0,0.7328002665333999,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.01,m1,0,0.8517824421122772,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.01,wass,0,0.5333316022711536,1,svae,cardiotocography 2-6
32,3,3,relu,Dense,0.01,m1,0,0.34200595485389834,1,svae,cardiotocography 2-6
32,3,3,relu,Dense,0.01,wass,0,0.8761950800300783,1,svae,cardiotocography 2-8
32,3,3,relu,Dense,0.01,m1,0,0.056209045010205155,1,svae,cardiotocography 2-8
32,3,3,relu,Dense,0.01,wass,0,0.7396435031215357,1,svae,cardiotocography 2-10
32,3,3,relu,Dense,0.01,m1,0,0.8552132563160044,1,svae,cardiotocography 2-10
32,3,3,relu,Dense,0.01,wass,0,0.5176176792556103,1,svae,cardiotocography 2-7
32,3,3,relu,Dense,0.01,m1,0,0.40226464148877944,1,svae,cardiotocography 2-7
32,3,3,relu,Dense,0.01,wass,0,0.6157806513409962,1,svae,cardiotocography 2-1
32,3,3,relu,Dense,0.01,m1,0,0.5802427562260537,1,svae,cardiotocography 2-1
32,3,3,relu,Dense,0.01,wass,0,0.38782259813489484,1,svae,cardiotocography 2-3
32,3,3,relu,Dense,0.01,m1,0,0.5112773801778355,1,svae,cardiotocography 2-3
32,3,3,relu,Dense,0.01,wass,0,0.6859833971902938,1,svae,cardiotocography 2-5
32,3,3,relu,Dense,0.01,m1,0,0.7658045977011495,1,svae,cardiotocography 2-5
32,3,3,relu,Dense,0.01,wass,0,0.5963175819497658,1,svae,cardiotocography 2-4
32,3,3,relu,Dense,0.01,m1,0,0.642755782602526,1,svae,cardiotocography 2-4
32,3,3,relu,Dense,0.01,wass,0,0.8914763397522019,1,svae,ecoli cp-im
32,3,3,relu,Dense,0.01,m1,0,0.8880429914912673,1,svae,ecoli cp-im
32,3,3,relu,Dense,0.01,wass,0,0.5,1,svae,ecoli cp-imS
32,3,3,relu,Dense,0.01,m1,0,0.5,1,svae,ecoli cp-imS
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,ecoli cp-imL
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,ecoli cp-imL
32,3,3,relu,Dense,0.01,wass,0,0.9839080459770114,1,svae,ecoli cp-imU
32,3,3,relu,Dense,0.01,m1,0,0.9832512315270936,1,svae,ecoli cp-imU
32,3,3,relu,Dense,0.01,wass,0,0.09655172413793102,1,svae,ecoli cp-om
32,3,3,relu,Dense,0.01,m1,0,0.05000000000000001,1,svae,ecoli cp-om
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,ecoli cp-omL
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,ecoli cp-omL
32,3,3,relu,Dense,0.01,wass,0,0.07515473032714413,1,svae,ecoli cp-pp
32,3,3,relu,Dense,0.01,m1,0,0.05238726790450928,1,svae,ecoli cp-pp
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,iris setosa-versicolor
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,iris setosa-versicolor
32,3,3,relu,Dense,0.01,wass,0,0.9486296296296297,1,svae,isolet 1-2
32,3,3,relu,Dense,0.01,m1,0,0.9554259259259258,1,svae,isolet 1-2
32,3,3,relu,Dense,0.01,wass,0,0.9969629629629629,1,svae,isolet 1-3
32,3,3,relu,Dense,0.01,m1,0,0.9977407407407407,1,svae,isolet 1-3
32,3,3,relu,Dense,0.01,wass,0,0.9706666666666667,1,svae,isolet 1-4
32,3,3,relu,Dense,0.01,m1,0,0.9697962962962962,1,svae,isolet 1-4
32,3,3,relu,Dense,0.01,wass,0,0.9603148148148147,1,svae,isolet 1-5
32,3,3,relu,Dense,0.01,m1,0,0.9605,1,svae,isolet 1-5
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,isolet 1-6
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,isolet 1-6
