hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,0.1,wass,0,0.8741879060469765,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,1.0,m1,0,0.8781859070464768,1,svae,cardiotocography 2-9
32,3,3,relu,Dense,0.01,wass,0,0.5517241379310345,1,svae,cardiotocography 2-6
32,3,3,relu,Dense,0.01,m1,0,0.3490340673036975,1,svae,cardiotocography 2-6
32,3,3,relu,Dense,0.01,wass,0,0.8880921688688366,1,svae,cardiotocography 2-8
32,3,3,relu,Dense,0.5,m1,0,0.117144698678698,1,svae,cardiotocography 2-8
32,3,3,relu,Dense,0.1,wass,0,0.872002450551374,1,svae,cardiotocography 2-10
32,3,3,relu,Dense,0.1,m1,0,0.8741466830036757,1,svae,cardiotocography 2-10
32,3,3,relu,Dense,1.0,wass,0,0.6102558839627805,1,svae,cardiotocography 2-7
32,3,3,relu,Dense,0.01,m1,0,0.40602764094143406,1,svae,cardiotocography 2-7
32,3,3,relu,Dense,0.5,wass,0,0.6476517600574712,1,svae,cardiotocography 2-1
32,3,3,relu,Dense,10.0,m1,0,0.6052218031609196,1,svae,cardiotocography 2-1
32,3,3,relu,Dense,10.0,wass,0,0.5152895250487963,1,svae,cardiotocography 2-3
32,3,3,relu,Dense,0.1,m1,0,0.5217957059206246,1,svae,cardiotocography 2-3
32,3,3,relu,Dense,0.1,wass,0,0.7959770114942528,1,svae,cardiotocography 2-5
32,3,3,relu,Dense,10.0,m1,0,0.79897030651341,1,svae,cardiotocography 2-5
32,3,3,relu,Dense,0.1,wass,0,0.6551724137931035,1,svae,cardiotocography 2-4
32,3,3,relu,Dense,0.01,m1,0,0.657088122605364,1,svae,cardiotocography 2-4
32,3,3,relu,Dense,1.0,wass,0,0.8974473802060009,1,svae,ecoli cp-im
32,3,3,relu,Dense,-1.0,m1,0,0.8889386475593373,1,svae,ecoli cp-im
32,3,3,relu,Dense,-1.0,wass,0,0.5,1,svae,ecoli cp-imS
32,3,3,relu,Dense,-1.0,m1,0,0.5,1,svae,ecoli cp-imS
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,ecoli cp-imL
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,ecoli cp-imL
32,3,3,relu,Dense,0.5,wass,0,0.987192118226601,1,svae,ecoli cp-imU
32,3,3,relu,Dense,-1.0,m1,0,0.9832512315270936,1,svae,ecoli cp-imU
32,3,3,relu,Dense,0.01,wass,0,0.1896551724137931,1,svae,ecoli cp-om
32,3,3,relu,Dense,-1.0,m1,0,0.05,1,svae,ecoli cp-om
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,ecoli cp-omL
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,ecoli cp-omL
32,3,3,relu,Dense,10.0,wass,0,0.1962864721485411,1,svae,ecoli cp-pp
32,3,3,relu,Dense,-1.0,m1,0,0.07891246684350132,1,svae,ecoli cp-pp
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,iris setosa-versicolor
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,iris setosa-versicolor
32,3,3,relu,Dense,10.0,wass,0,0.954388888888889,1,svae,isolet 1-2
32,3,3,relu,Dense,0.1,m1,0,0.9574999999999999,1,svae,isolet 1-2
32,3,3,relu,Dense,0.5,wass,0,0.9990555555555556,1,svae,isolet 1-3
32,3,3,relu,Dense,-1.0,m1,0,0.9996666666666667,1,svae,isolet 1-3
32,3,3,relu,Dense,0.01,wass,0,0.971,1,svae,isolet 1-4
32,3,3,relu,Dense,0.01,m1,0,0.97,1,svae,isolet 1-4
32,3,3,relu,Dense,1.0,wass,0,0.9605555555555555,1,svae,isolet 1-5
32,3,3,relu,Dense,-1.0,m1,0,0.9605555555555555,1,svae,isolet 1-5
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,isolet 1-6
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,isolet 1-6
32,3,3,relu,Dense,1.0,wass,0,0.9966111111111111,1,svae,isolet 1-7
32,3,3,relu,Dense,1.0,m1,0,0.9966111111111111,1,svae,isolet 1-7
32,3,3,relu,Dense,0.5,wass,0,0.7709444444444444,1,svae,isolet 1-8
32,3,3,relu,Dense,1.0,m1,0,0.7152222222222222,1,svae,isolet 1-8
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,isolet 1-9
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,isolet 1-9
32,3,3,relu,Dense,0.1,wass,0,0.6753888888888889,1,svae,isolet 1-10
32,3,3,relu,Dense,10.0,m1,0,0.549,1,svae,isolet 1-10
32,3,3,relu,Dense,0.5,wass,0,0.9452222222222223,1,svae,isolet 1-11
32,3,3,relu,Dense,1.0,m1,0,0.9185555555555556,1,svae,isolet 1-11
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,isolet 1-12
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,isolet 1-12
32,3,3,relu,Dense,0.5,wass,0,0.993088071348941,1,svae,isolet 1-13
32,3,3,relu,Dense,-1.0,m1,0,0.9927536231884059,1,svae,isolet 1-13
32,3,3,relu,Dense,0.1,wass,0,0.9941666666666666,1,svae,isolet 1-14
32,3,3,relu,Dense,0.1,m1,0,0.9951111111111111,1,svae,isolet 1-14
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,isolet 1-15
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,isolet 1-15
32,3,3,relu,Dense,1.0,wass,0,0.9672777777777777,1,svae,isolet 1-16
32,3,3,relu,Dense,0.01,m1,0,0.9854444444444445,1,svae,isolet 1-16
32,3,3,relu,Dense,0.1,wass,0,0.9878888888888889,1,svae,isolet 1-17
32,3,3,relu,Dense,-1.0,m1,0,0.9888888888888889,1,svae,isolet 1-17
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,isolet 1-18
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,isolet 1-18
32,3,3,relu,Dense,0.1,wass,0,0.8394888553195425,1,svae,letter-recognition U-T
32,3,3,relu,Dense,0.01,m1,0,0.8521903998520208,1,svae,letter-recognition U-T
32,3,3,relu,Dense,0.5,wass,0,0.7637589891520741,1,svae,letter-recognition U-I
