hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,0.01,wass,0,0.5200379666736975,1,svae,abalone 
32,3,3,relu,Dense,0.01,m1,0,0.5026102088167054,1,svae,abalone 
32,3,3,relu,Dense,0.1,wass,0,0.5148507928065076,1,svae,abalone 
32,3,3,relu,Dense,0.1,m1,0,0.510255128710692,1,svae,abalone 
32,3,3,relu,Dense,0.5,wass,0,0.5110082719661051,1,svae,abalone 
32,3,3,relu,Dense,0.5,m1,0,0.511995267921829,1,svae,abalone 
32,3,3,relu,Dense,1.0,wass,0,0.5083522096787505,1,svae,abalone 
32,3,3,relu,Dense,1.0,m1,0,0.5150892308538833,1,svae,abalone 
32,3,3,relu,Dense,10.0,wass,0,0.5180995112020028,1,svae,abalone 
32,3,3,relu,Dense,10.0,m1,0,0.5205767449538256,1,svae,abalone 
32,3,3,relu,Dense,0.01,wass,0,0.5190647267591684,2,svae,abalone 
32,3,3,relu,Dense,0.01,m1,0,0.4968785249855561,2,svae,abalone 
32,3,3,relu,Dense,0.1,wass,0,0.5179963408930423,2,svae,abalone 
32,3,3,relu,Dense,0.1,m1,0,0.5082456003594912,2,svae,abalone 
32,3,3,relu,Dense,0.5,wass,0,0.5132287262822923,2,svae,abalone 
32,3,3,relu,Dense,0.5,m1,0,0.5088967196427098,2,svae,abalone 
32,3,3,relu,Dense,1.0,wass,0,0.5128469961391378,2,svae,abalone 
32,3,3,relu,Dense,1.0,m1,0,0.5086514035747366,2,svae,abalone 
32,3,3,relu,Dense,10.0,wass,0,0.507536017901195,2,svae,abalone 
32,3,3,relu,Dense,10.0,m1,0,0.5075555056262209,2,svae,abalone 
32,3,3,relu,Dense,0.01,wass,0,0.4853670111790761,3,svae,abalone 
32,3,3,relu,Dense,0.01,m1,0,0.49352319727080146,3,svae,abalone 
32,3,3,relu,Dense,0.1,wass,0,0.47585356235613474,3,svae,abalone 
32,3,3,relu,Dense,0.1,m1,0,0.47906330530157826,3,svae,abalone 
32,3,3,relu,Dense,0.5,wass,0,0.47529644268774707,3,svae,abalone 
32,3,3,relu,Dense,0.5,m1,0,0.4748745907577745,3,svae,abalone 
32,3,3,relu,Dense,1.0,wass,0,0.48104876058068835,3,svae,abalone 
32,3,3,relu,Dense,1.0,m1,0,0.4829906550626817,3,svae,abalone 
32,3,3,relu,Dense,10.0,wass,0,0.4780900653870491,3,svae,abalone 
32,3,3,relu,Dense,10.0,m1,0,0.47668236383811896,3,svae,abalone 
32,3,3,relu,Dense,0.01,wass,0,0.482104536742386,4,svae,abalone 
32,3,3,relu,Dense,0.01,m1,0,0.5317053822803848,4,svae,abalone 
32,3,3,relu,Dense,0.1,wass,0,0.5158137156901406,4,svae,abalone 
32,3,3,relu,Dense,0.1,m1,0,0.5306828498849078,4,svae,abalone 
32,3,3,relu,Dense,0.5,wass,0,0.519257311335895,4,svae,abalone 
32,3,3,relu,Dense,0.5,m1,0,0.5309900681382573,4,svae,abalone 
32,3,3,relu,Dense,1.0,wass,0,0.5253477985748742,4,svae,abalone 
32,3,3,relu,Dense,1.0,m1,0,0.5302289005254808,4,svae,abalone 
32,3,3,relu,Dense,10.0,wass,0,0.5155833020001284,4,svae,abalone 
32,3,3,relu,Dense,10.0,m1,0,0.5262465265995984,4,svae,abalone 
32,3,3,relu,Dense,0.01,wass,0,0.5007267775097897,5,svae,abalone 
32,3,3,relu,Dense,0.01,m1,0,0.48416106490100236,5,svae,abalone 
32,3,3,relu,Dense,0.1,wass,0,0.5048501508579184,5,svae,abalone 
32,3,3,relu,Dense,0.1,m1,0,0.4958342121915208,5,svae,abalone 
32,3,3,relu,Dense,0.5,wass,0,0.49521748301128915,5,svae,abalone 
32,3,3,relu,Dense,0.5,m1,0,0.4827338756270462,5,svae,abalone 
32,3,3,relu,Dense,1.0,wass,0,0.49464202195464174,5,svae,abalone 
32,3,3,relu,Dense,1.0,m1,0,0.4871701989123557,5,svae,abalone 
32,3,3,relu,Dense,10.0,wass,0,0.49574823693405357,5,svae,abalone 
32,3,3,relu,Dense,10.0,m1,0,0.4883257063727154,5,svae,abalone 
32,3,3,relu,Dense,0.01,wass,0,0.5006671679979458,6,svae,abalone 
32,3,3,relu,Dense,0.01,m1,0,0.49860834716579705,6,svae,abalone 
32,3,3,relu,Dense,0.1,wass,0,0.5054577093440202,6,svae,abalone 
32,3,3,relu,Dense,0.1,m1,0,0.5047091514356721,6,svae,abalone 
32,3,3,relu,Dense,0.5,wass,0,0.5059024880093175,6,svae,abalone 
32,3,3,relu,Dense,0.5,m1,0,0.506229193987693,6,svae,abalone 
32,3,3,relu,Dense,1.0,wass,0,0.5074603596746238,6,svae,abalone 
32,3,3,relu,Dense,1.0,m1,0,0.5118382197848554,6,svae,abalone 
32,3,3,relu,Dense,10.0,wass,0,0.5077664315912072,6,svae,abalone 
32,3,3,relu,Dense,10.0,m1,0,0.5081309666828682,6,svae,abalone 
32,3,3,relu,Dense,0.01,wass,0,0.5064275102482507,7,svae,abalone 
32,3,3,relu,Dense,0.01,m1,0,0.5143269169043405,7,svae,abalone 
32,3,3,relu,Dense,0.1,wass,0,0.5109394917601313,7,svae,abalone 
32,3,3,relu,Dense,0.1,m1,0,0.5080426987518686,7,svae,abalone 
32,3,3,relu,Dense,0.5,wass,0,0.5121924378456205,7,svae,abalone 
32,3,3,relu,Dense,0.5,m1,0,0.5077515292132462,7,svae,abalone 
32,3,3,relu,Dense,1.0,wass,0,0.5100155443265502,7,svae,abalone 
32,3,3,relu,Dense,1.0,m1,0,0.5018696752657209,7,svae,abalone 
32,3,3,relu,Dense,10.0,wass,0,0.505486367763176,7,svae,abalone 
32,3,3,relu,Dense,10.0,m1,0,0.5091305723430206,7,svae,abalone 
32,3,3,relu,Dense,0.01,wass,0,0.5517301490455854,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.5302885034428659,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5790115924344112,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.5876405473720909,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5940033121241174,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.5899067375577443,1,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.606380196984224,1,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.588163514338011,1,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6107382550335572,1,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.5952235683779307,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5796217205613179,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.5917371219384642,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5521659548505186,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6159679246927569,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5784886254684912,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.611261221999477,2,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.5666347075743049,2,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.5928702170312908,2,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6161422470147303,2,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.5967053081147041,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5544321450361719,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6008018826810773,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5756123071559314,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6767192539004618,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.6088207094918504,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6784624771201953,3,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6091693541357971,3,svae,blood-transfusion 
