dataset,m1auc,wassauc,pval
blood-transfusion ,0.6460702202007877,0.6216809426083373,0.031250000000000014
cardiotocography 2-9,0.9047635273272454,0.8818772431965836,0.031250000000000014
cardiotocography 2-6,0.3697100313479624,0.5185113494731278,0.031250000000000014
cardiotocography 2-8,0.14853660680280079,0.8541074619869334,0.031250000000000014
cardiotocography 2-10,0.8697150040577312,0.8492751778241012,0.031250000000000014
cardiotocography 2-7,0.39273585609792505,0.5903337562820321,0.031250000000000014
cardiotocography 2-3,0.540441828828296,0.5149346424557876,0.031250000000000014
ecoli cp-im,0.8213166144200628,0.8244140916554709,0.031250000000000014
ecoli cp-imL,0.985344827586207,0.9820689655172413,0.031250000000000014
ecoli cp-om,0.049999999999999996,0.05376175548589342,0.031250000000000014
ecoli cp-omL,0.9826896551724138,0.9742758620689655,0.031250000000000014
ecoli cp-pp,0.05299011333494091,0.08964311550518447,0.031250000000000014
glass 2-1,0.7119309262166404,0.7777178178963892,0.031250000000000014
glass 2-5,0.5997073578595317,0.7272157190635452,0.031250000000000014
glass 2-6,0.4034090909090909,0.7803030303030302,0.031250000000000014
glass 2-7,0.9218749999999999,0.9451104525862072,0.031250000000000014
ionosphere ,0.7322403292181069,0.7596641975308642,0.031250000000000014
iris setosa-versicolor,0.9891999999999999,1.0,0.031250000000000014
iris setosa-virginica,0.98386,1.0,0.031250000000000014
isolet 1-2,0.915537037037037,0.9069351851851852,0.031250000000000014
isolet 1-3,0.9958928571428572,0.9955119047619048,0.031250000000000014
isolet 1-4,0.9787020202020201,0.9789090909090908,0.031250000000000014
isolet 1-5,0.9885798611111113,0.9884965277777776,0.031250000000000014
isolet 1-7,0.9808411111111108,0.9796822222222222,0.031250000000000014
isolet 1-8,0.23056060606060608,0.4346212121212121,0.031250000000000014
isolet 1-10,0.4954206349206349,0.5412976190476192,0.031250000000000014
isolet 1-11,0.867474358974359,0.8897094017094017,0.031250000000000014
isolet 1-16,0.9394949494949496,0.9217525252525255,0.031250000000000014
isolet 1-17,0.9888703703703706,0.988569958847737,0.031250000000000014
letter-recognition U-D,0.5793115393542173,0.6917079186484361,0.031250000000000014
letter-recognition U-N,0.5385745189003069,0.6335963826972923,0.031250000000000014
letter-recognition U-S,0.7084681664583898,0.6633991070443287,0.031250000000000014
letter-recognition U-B,0.4710005111260937,0.656940466187771,0.031250000000000014
letter-recognition U-M,0.8091326703289896,0.8176982356430209,0.031250000000000014
letter-recognition U-X,0.6606349271591981,0.580333940192376,0.031250000000000014
letter-recognition U-R,0.5308698294599196,0.7836227663428725,0.031250000000000014
letter-recognition U-L,0.8897347180926262,0.9172999392439426,0.031250000000000014
letter-recognition U-E,0.6855864531046664,0.6055587992656628,0.031250000000000014
letter-recognition U-K,0.7050656326248447,0.6299328240103786,0.031250000000000014
letter-recognition U-Z,0.7234302031363263,0.8264899374041648,0.031250000000000014
libras 1-2,0.6052083333333335,0.6927083333333334,0.031250000000000014
libras 1-4,0.7166666666666667,1.0,0.031250000000000014
libras 1-5,0.7110119047619048,0.923809523809524,0.031250000000000014
libras 1-6,0.6805555555555555,0.9574074074074077,0.031250000000000014
libras 1-7,0.826470588235294,0.919607843137255,0.031250000000000014
libras 1-8,0.8151515151515152,0.9696969696969698,0.031250000000000014
libras 1-9,0.6686274509803922,0.8333333333333333,0.031250000000000014
libras 1-10,0.7822222222222223,0.9366666666666668,0.031250000000000014
libras 1-11,0.9320833333333336,0.9659999999999997,0.031250000000000014
libras 1-12,0.9138888888888889,0.963888888888889,0.031250000000000014
libras 1-14,0.6937500000000001,0.9395833333333334,0.031250000000000014
multiple-features 0-1,0.999875,0.9999950000000001,0.031250000000000014
multiple-features 0-3,0.9968559027777779,0.9981493055555555,0.031250000000000014
multiple-features 0-5,0.9954487500000002,0.99621375,0.031250000000000014
multiple-features 0-8,0.9933025,0.9938012500000003,0.031250000000000014
