hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,aucpxv,aucf2,aucf3,ar,i,κ,anom_sel,model,dataset
32,8,3,relu,Dense,256,0,0.5,1,0.9186379602450985,0.7643734143786095,0.6148379527409061,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,1,0.9186379602450985,0.7638618305033871,0.6201991208550162,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,1,0.9186379602450985,0.7581593659534798,0.6384234846582562,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,1,0.9186379602450985,0.7516848354705851,0.6534787703515137,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,1,0.9186379602450985,0.7432765323704877,0.6800125839531508,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,1,0.9186379602450985,0.7376151965665434,0.7259086566630011,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,2,0.9186379602450985,0.8018857169245511,0.6960354775119562,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,2,0.9186379602450985,0.7984741956804715,0.6991186903452795,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,2,0.9186379602450985,0.7843576555748933,0.7082240174559056,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,2,0.9186379602450985,0.7734073073515108,0.7144871317534123,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,2,0.9186379602450985,0.7580641204365131,0.7241668181936255,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,2,0.9186379602450985,0.74283421796215,0.7377789899934483,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,3,0.9186379602450985,0.8625838088393613,0.7051451339642627,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,3,0.9186379602450985,0.8594176169571656,0.7074230892450494,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,3,0.9186379602450985,0.8413173609487606,0.7152880599642684,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,3,0.9186379602450985,0.8250678985086861,0.7215814796535372,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,3,0.9186379602450985,0.8043664297073653,0.7341618250195543,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,3,0.9186379602450985,0.7876190929740556,0.7680980913375646,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,4,0.9186379602450985,0.8307689199446999,0.7017884510481336,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,4,0.9186379602450985,0.8293005515581301,0.702793579874911,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,4,0.9186379602450985,0.8197413651280185,0.7063306520277193,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,4,0.9186379602450985,0.8085954749720757,0.7094852989987676,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,4,0.9186379602450985,0.7885996888646446,0.7180018356408725,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,4,0.9186379602450985,0.7699185795141325,0.7497315808158211,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,5,0.9186379602450985,0.8273509046880998,0.7120994998167245,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,5,0.9186379602450985,0.8263768028100315,0.712466050745657,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,5,0.9186379602450985,0.816687014572564,0.7135801346713886,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,5,0.9186379602450985,0.8049884117954358,0.7148493533406642,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,5,0.9186379602450985,0.7829794818066631,0.7195459675068476,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,5,0.9186379602450985,0.7623617136111616,0.7444598857631042,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,6,0.9186379602450985,0.8382572379377324,0.7011513162641821,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,6,0.9186379602450985,0.8352988544561912,0.7003684269769941,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,6,0.9186379602450985,0.8172274607256554,0.6971654356905155,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,6,0.9186379602450985,0.7981632046364364,0.695367315779296,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,6,0.9186379602450985,0.7650891988697531,0.6952071301371247,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,6,0.9186379602450985,0.7315519535432777,0.7127416854993031,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,7,0.9186379602450985,0.8311304199750053,0.7190841710609484,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,7,0.9186379602450985,0.8293604407847076,0.718161299726097,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,7,0.9186379602450985,0.8151068048592531,0.7149835629327538,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,7,0.9186379602450985,0.798513881312541,0.7128881615594866,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,7,0.9186379602450985,0.769751178302494,0.7120417752609871,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,7,0.9186379602450985,0.7403802027863643,0.7243634424616059,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,8,0.9186379602450985,0.8228390091002762,0.744832930704557,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,8,0.9186379602450985,0.8216852395424751,0.7440016971019385,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,8,0.9186379602450985,0.8141846550813483,0.7410014633174878,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,8,0.9186379602450985,0.804456624325705,0.7391766457992397,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,8,0.9186379602450985,0.7843071465886231,0.7383216008173799,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,8,0.9186379602450985,0.7622065788676172,0.7497286945880343,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,9,0.9186379602450985,0.8286446562935641,0.7343811783313562,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,9,0.9186379602450985,0.8270961950859086,0.7319206691430501,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,9,0.9186379602450985,0.816171822912608,0.7235801923959442,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,9,0.9186379602450985,0.8020964115529925,0.7178207248472463,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,9,0.9186379602450985,0.7725176276362083,0.711684604572362,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,9,0.9186379602450985,0.7369823911242723,0.7204760544111662,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,10,0.9186379602450985,0.8150757779105442,0.735120052644795,0.05,1,0.5,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,10,0.9186379602450985,0.8162778917837753,0.7327843728082708,0.05,1,1.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,10,0.9186379602450985,0.8138505742150183,0.7244034888721488,0.05,1,3.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,10,0.9186379602450985,0.8028143607149765,0.7184896081368534,0.05,1,5.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,10,0.9186379602450985,0.774545202656484,0.7116802752306818,0.05,1,10.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,10,0.9186379602450985,0.7382660409324824,0.720135840310789,0.05,1,50.0,rnd,svae,magic-telescope
32,8,3,relu,Dense,256,0,0.5,1,0.9123208180635202,0.43464576879595884,0.47313850588649164,0.05,1,0.5,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,1,0.9123208180635202,0.43823367681162884,0.47601088155634264,0.05,1,1.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,1,0.9123208180635202,0.4603801713862201,0.4850139520268863,0.05,1,3.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,1,0.9123208180635202,0.4789276578013518,0.4910447455334729,0.05,1,5.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,1,0.9123208180635202,0.49890023190761945,0.5000853857214581,0.05,1,10.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,1,0.9123208180635202,0.5174460106083221,0.5155086085884374,0.05,1,50.0,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,2,0.9123208180635202,0.7486167513123786,0.5766815010126747,0.05,1,0.5,rnd,svae,pendigits
32,8,3,relu,Dense,256,0,0.5,2,0.9123208180635202,0.6983843313785696,0.5761350323953427,0.05,1,1.0,rnd,svae,pendigits
