hidden,latent,layers,nonlinearity,layertype,β,aucpxv,aucpz,ar,i,model,dataset
32,8,3,relu,Dense,0.01,0.9582366589,0.5730858469,0.05,1,svae,abalone
32,8,3,relu,Dense,0.01,0.9721577726,0.8816705335999999,0.01,1,svae,abalone
32,8,3,relu,Dense,0.01,0.9860788863000001,0.22969837589999997,0.005,1,svae,abalone
32,8,3,relu,Dense,0.1,0.9814385151,0.4965197216,0.05,1,svae,abalone
32,8,3,relu,Dense,0.1,0.9814385151,0.38051044079999996,0.01,1,svae,abalone
32,8,3,relu,Dense,0.1,0.9837587006999999,0.162412993,0.005,1,svae,abalone
32,8,3,relu,Dense,1.0,0.9814385151,0.9675174014000001,0.05,1,svae,abalone
32,8,3,relu,Dense,1.0,0.9907192575,0.016241299299999956,0.01,1,svae,abalone
32,8,3,relu,Dense,1.0,0.9883990719,0.9628770302,0.005,1,svae,abalone
32,8,3,relu,Dense,10.0,0.9930394432,0.7076566125,0.05,1,svae,abalone
32,8,3,relu,Dense,10.0,0.9907192575,0.17401392110000002,0.01,1,svae,abalone
32,8,3,relu,Dense,10.0,0.9930394432,0.9535962877,0.005,1,svae,abalone
32,8,3,relu,Dense,0.01,0.9860788863000001,0.909512761,0.05,2,svae,abalone
32,8,3,relu,Dense,0.01,0.9907192575,0.9164733179,0.01,2,svae,abalone
32,8,3,relu,Dense,0.01,0.9930394432,0.9559164733000001,0.005,2,svae,abalone
32,8,3,relu,Dense,0.1,0.9883990719,0.10440835270000004,0.05,2,svae,abalone
32,8,3,relu,Dense,0.1,0.9814385151,0.7517401392,0.01,2,svae,abalone
32,8,3,relu,Dense,0.1,0.9953596288,0.08584686770000005,0.005,2,svae,abalone
32,8,3,relu,Dense,1.0,0.9837587006999999,0.373549884,0.05,2,svae,abalone
32,8,3,relu,Dense,1.0,0.8979118329,0.9860788863000001,0.01,2,svae,abalone
32,8,3,relu,Dense,1.0,0.9559164733000001,0.9976798144,0.005,2,svae,abalone
32,8,3,relu,Dense,10.0,0.9744779582,0.86774942,0.05,2,svae,abalone
32,8,3,relu,Dense,10.0,0.9883990719,0.6496519722,0.01,2,svae,abalone
32,8,3,relu,Dense,10.0,0.9721577726,0.0,0.005,2,svae,abalone
32,8,3,relu,Dense,0.01,0.9814385151,0.9953596288,0.05,3,svae,abalone
32,8,3,relu,Dense,0.01,0.9953596288,0.3016241299,0.01,3,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.12529002320000004,0.005,3,svae,abalone
32,8,3,relu,Dense,0.1,0.9907192575,0.2923433875,0.05,3,svae,abalone
32,8,3,relu,Dense,0.1,0.9907192575,0.807424594,0.01,3,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.08352668210000003,0.005,3,svae,abalone
32,8,3,relu,Dense,1.0,0.9907192575,0.8561484919,0.05,3,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.6148491879,0.01,3,svae,abalone
32,8,3,relu,Dense,1.0,0.9930394432,0.011600928100000019,0.005,3,svae,abalone
32,8,3,relu,Dense,10.0,0.9883990719,0.013921113700000043,0.05,3,svae,abalone
32,8,3,relu,Dense,10.0,0.9767981439,0.8213457076999999,0.01,3,svae,abalone
32,8,3,relu,Dense,10.0,0.9883990719,0.8236658933000001,0.005,3,svae,abalone
32,8,3,relu,Dense,0.01,0.9930394432,0.12529002320000004,0.05,4,svae,abalone
32,8,3,relu,Dense,0.01,0.9953596288,0.2018561485,0.01,4,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.464037123,0.005,4,svae,abalone
32,8,3,relu,Dense,0.1,0.9953596288,0.6171693735,0.05,4,svae,abalone
32,8,3,relu,Dense,0.1,0.9907192575,0.09512761020000005,0.01,4,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.6241299304,0.005,4,svae,abalone
32,8,3,relu,Dense,1.0,0.9930394432,0.5475638051,0.05,4,svae,abalone
32,8,3,relu,Dense,1.0,0.9930394432,0.4269141531,0.01,4,svae,abalone
32,8,3,relu,Dense,1.0,0.9907192575,0.8955916473,0.005,4,svae,abalone
32,8,3,relu,Dense,10.0,0.9860788863000001,0.5730858469,0.05,4,svae,abalone
32,8,3,relu,Dense,10.0,0.9930394432,0.3921113689,0.01,4,svae,abalone
32,8,3,relu,Dense,10.0,0.9930394432,0.3155452436,0.005,4,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.5870069606,0.05,5,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.046403712299999955,0.01,5,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.5382830625999999,0.005,5,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.211136891,0.05,5,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.7053364269,0.01,5,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.0812064965,0.005,5,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.6357308585,0.05,5,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.5684454756,0.01,5,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.9535962877,0.005,5,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.969837587,0.05,5,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.4733178654,0.01,5,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.9466357309,0.005,5,svae,abalone
32,8,3,relu,Dense,0.01,0.9883990719,0.35962877029999996,0.05,6,svae,abalone
32,8,3,relu,Dense,0.01,0.9837587006999999,0.15313225060000002,0.01,6,svae,abalone
32,8,3,relu,Dense,0.01,0.9883990719,0.8839907193,0.005,6,svae,abalone
32,8,3,relu,Dense,0.1,0.9907192575,0.7911832946999999,0.05,6,svae,abalone
32,8,3,relu,Dense,0.1,0.9837587006999999,0.090487239,0.01,6,svae,abalone
32,8,3,relu,Dense,0.1,0.9767981439,0.6914153132,0.005,6,svae,abalone
32,8,3,relu,Dense,1.0,0.9860788863000001,0.9419953595999999,0.05,6,svae,abalone
32,8,3,relu,Dense,1.0,0.9860788863000001,0.7030162413000001,0.01,6,svae,abalone
32,8,3,relu,Dense,1.0,0.9837587006999999,0.29002320189999997,0.005,6,svae,abalone
32,8,3,relu,Dense,10.0,0.9814385151,0.47099767979999996,0.05,6,svae,abalone
32,8,3,relu,Dense,10.0,0.9791183295000001,0.4524361949,0.01,6,svae,abalone
32,8,3,relu,Dense,10.0,0.9814385151,0.37819025520000005,0.005,6,svae,abalone
32,8,3,relu,Dense,0.01,0.9953596288,0.6519721578,0.05,7,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.24593967520000004,0.01,7,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.1716937355,0.005,7,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.6171693735,0.05,7,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.9211136891,0.01,7,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.5150812065,0.005,7,svae,abalone
32,8,3,relu,Dense,1.0,0.9953596288,0.26682134570000005,0.05,7,svae,abalone
32,8,3,relu,Dense,1.0,0.9953596288,0.41067285379999996,0.01,7,svae,abalone
32,8,3,relu,Dense,1.0,0.9953596288,0.837587007,0.005,7,svae,abalone
32,8,3,relu,Dense,10.0,0.9953596288,0.9350348028,0.05,7,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.058004640399999974,0.01,7,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.18561484920000004,0.005,7,svae,abalone
32,8,3,relu,Dense,0.01,0.9930394432,0.6658932715,0.05,8,svae,abalone
32,8,3,relu,Dense,0.01,0.9953596288,0.027842227399999975,0.01,8,svae,abalone
32,8,3,relu,Dense,0.01,0.9953596288,0.9002320185999999,0.005,8,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.7610208816999999,0.05,8,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.5174013921,0.01,8,svae,abalone
32,8,3,relu,Dense,0.1,0.9953596288,0.8886310905,0.005,8,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.45011600929999995,0.05,8,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.4454756381,0.01,8,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.9350348028,0.005,8,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.29698375870000004,0.05,8,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.7981438515,0.01,8,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.9744779582,0.005,8,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.535962877,0.05,9,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.051044083500000004,0.01,9,svae,abalone
32,8,3,relu,Dense,0.01,0.9976798144,0.6844547564,0.005,9,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.9373549884000001,0.05,9,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.8352668213000001,0.01,9,svae,abalone
32,8,3,relu,Dense,0.1,0.9976798144,0.8283062645,0.005,9,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.9907192575,0.05,9,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.3410672854,0.01,9,svae,abalone
32,8,3,relu,Dense,1.0,0.9976798144,0.8120649652,0.005,9,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.8839907193,0.05,9,svae,abalone
32,8,3,relu,Dense,10.0,0.9976798144,0.9048723898,0.01,9,svae,abalone
