hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,model,dataset
32,8,3,relu,Dense,32,16,0.05,1,0.0,0.8679577464788732,0.124057834280063,0.1421920718701624,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,2,0.8571428571428571,0.9859154929577465,0.124057834280063,0.1421920718701624,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,3,0.5714285714285714,0.8116197183098592,0.124057834280063,0.1421920718701624,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,4,0.5714285714285714,0.9119718309859155,0.124057834280063,0.1421920718701624,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,5,0.5,0.9647887323943661,0.124057834280063,0.1421920718701624,0.8714788732394366,1.0,0.25,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,1,0.0,1.0,0.09666164404830548,0.11438124968360446,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,2,0.0,1.0,0.09666164404830548,0.11438124968360446,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,3,0.0,1.0,0.09666164404830548,0.11438124968360446,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,16,0.05,1,0.0,0.5352112676056338,0.09889732755810668,0.12172650684487205,0.5,NaN,0.0,0.005,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,1,0.4,0.7816901408450704,0.1263010152101837,0.14780297531756983,1.0,1.0,1.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,2,0.0,0.9330985915492958,0.1263010152101837,0.14780297531756983,1.0,1.0,1.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,3,0.5,0.9823943661971831,0.1263010152101837,0.14780297531756983,1.0,1.0,1.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,4,0.6666666666666666,0.9894366197183098,0.1263010152101837,0.14780297531756983,1.0,1.0,1.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,5,0.3333333333333333,0.9929577464788732,0.1263010152101837,0.14780297531756983,1.0,1.0,1.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,1,0.0,0.9295774647887324,0.11071860108275963,0.12989419282555473,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,2,1.0,1.0,0.11071860108275963,0.12989419282555473,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,3,1.0,1.0,0.11071860108275963,0.12989419282555473,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,16,0.05,1,1.0,1.0,0.10770331420724098,0.12980792064037544,0.5,NaN,0.0,0.005,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.875,0.1149502769323929,0.16763872506245558,1.0,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,2,0.4,1.0,0.1149502769323929,0.16763872506245558,1.0,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,3,0.0,0.9964788732394365,0.1149502769323929,0.16763872506245558,1.0,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,4,0.0,0.9823943661971831,0.1149502769323929,0.16763872506245558,1.0,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.05,5,0.0,0.9753521126760563,0.1149502769323929,0.16763872506245558,1.0,NaN,0.0,0.05,svae,breast-cancer-wisconsin
