hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,mpwmutualinf,knn5auc,knn9auc,knn15auc,knnsqrtauc,knn5a3auc,knn5a5auc,knn5a9auc,knn5asqrtauc
32,8,3,relu,Dense,128,16,0.1,1,0.0,0.5559673832468496,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,2,0.0,0.5604151223128242,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,3,0.0,0.5363232023721276,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,4,0.0,0.5522609340252039,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,5,0.0,0.5537435137138621,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,6,0.0,0.5454040029651593,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,7,0.0,0.4773906597479614,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,8,0.0,0.45607857672349883,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,9,0.0,0.4534840622683469,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
32,8,3,relu,Dense,128,16,0.1,10,0.0,0.4386582653817643,0.11090382558678266,0.22188681800692273,0.9225352112676057,1.0,0.23684210526315788,0.05,1,svae,breast-cancer-wisconsin,0.7735644644726151,0.8762045959970348,0.8825055596738325,0.8843587842846553,0.8836174944403261,0.8995552260934024,0.8999258710155671,0.8969607116382506,0.8947368421052632
