hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset
32,8,3,relu,Dense,32,16,0.1,1,0.17142857142857143,0.912144337667232,0.24147803269826532,0.30238806004421087,0.915112116073111,0.7222222222222222,0.4482758620689655,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,2,0.4090909090909091,0.9243452044469569,0.24147803269826532,0.30238806004421087,0.915112116073111,0.7222222222222222,0.4482758620689655,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,3,0.25,0.818824194460147,0.24147803269826532,0.30238806004421087,0.915112116073111,0.7222222222222222,0.4482758620689655,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,4,0.2608695652173913,0.9081401921989825,0.24147803269826532,0.30238806004421087,0.915112116073111,0.7222222222222222,0.4482758620689655,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,5,0.3333333333333333,0.9162426983229697,0.24147803269826532,0.30238806004421087,0.915112116073111,0.7222222222222222,0.4482758620689655,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,1,0.4,0.9161955907292256,0.27881148768642705,0.3318778310262695,0.67816091954023,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,2,0.35555555555555557,0.887695496514038,0.27881148768642705,0.3318778310262695,0.67816091954023,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,3,0.34782608695652173,0.9098360655737705,0.27881148768642705,0.3318778310262695,0.67816091954023,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,4,0.2903225806451613,0.913416242698323,0.27881148768642705,0.3318778310262695,0.67816091954023,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,5,0.3783783783783784,0.9206708121349161,0.27881148768642705,0.3318778310262695,0.67816091954023,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,1,0.16216216216216217,0.8421424533634823,0.20980764081652106,0.2537774163204887,0.6163557565479556,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,2,0.38095238095238093,0.9140286414169964,0.20980764081652106,0.2537774163204887,0.6163557565479556,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,3,0.4,0.8891558319201056,0.20980764081652106,0.2537774163204887,0.6163557565479556,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,4,0.34285714285714286,0.8845863953269267,0.20980764081652106,0.2537774163204887,0.6163557565479556,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.1,5,0.4057971014492754,0.8846806105144149,0.20980764081652106,0.2537774163204887,0.6163557565479556,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.1,1,0.0,0.8357358206142831,0.2454873126675971,0.3064931507606092,0.891935179951008,0.5384615384615384,0.2413793103448276,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.1,2,0.0,0.8326267194271717,0.2454873126675971,0.3064931507606092,0.891935179951008,0.5384615384615384,0.2413793103448276,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.1,3,0.05714285714285714,0.8124175617109477,0.2454873126675971,0.3064931507606092,0.891935179951008,0.5384615384615384,0.2413793103448276,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.1,4,0.058823529411764705,0.84039947239495,0.2454873126675971,0.3064931507606092,0.891935179951008,0.5384615384615384,0.2413793103448276,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.1,5,0.10810810810810811,0.8215564348973055,0.2454873126675971,0.3064931507606092,0.891935179951008,0.5384615384615384,0.2413793103448276,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.1,1,0.0,0.7085453175051819,0.22497008828311174,0.2581503747126841,0.6089127567363859,1.0,0.06896551724137931,0.01,1,svae,cardiotocography
