hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,auc,dataset,mpwmutualinf,varOfDists,knn5auc,knn9auc,knn15auc,knnsqrtauc,knn5a3auc,knn5a5auc,knn5a9auc,knn5asqrtauc,pxauc,px2auc,px3auc,px4auc,px5auc,pxvitaauc,aranks,total,acount,Column1,Column2
32,8,3,relu,Dense,128,16,0.1,1,0,0.113063194,0.259935274,0.921052632,1,0.131578947,0.05,1,svae,0.723128243,breast-cancer-wisconsin,0.769613947,829.9620182,0.902149741,0.909191994,0.914381023,0.913639733,0.927353595,0.924759081,0.924388436,0.922535211,0.69199407,0.775389177,0.283543365,0.086730912,0.275759822,0.888806523,[109],109,38,0.888806523,Vita
32,8,3,relu,Dense,128,16,0.1,2,0.051282051,0.113063194,0.259935274,0.921052632,1,0.131578947,0.05,1,svae,0.856560415,breast-cancer-wisconsin,0.769613947,829.9620182,0.902149741,0.909191994,0.914381023,0.913639733,0.927353595,0.924759081,0.924388436,0.922535211,0.69199407,0.775389177,0.283543365,0.086730912,0.275759822,0.888806523,"[102, 102]",109,38,0.888806523,Vita
32,8,3,relu,Dense,128,16,0.1,3,0.227272727,0.113063194,0.259935274,0.921052632,1,0.131578947,0.05,1,svae,0.876575241,breast-cancer-wisconsin,0.769613947,829.9620182,0.902149741,0.909191994,0.914381023,0.913639733,0.927353595,0.924759081,0.924388436,0.922535211,0.69199407,0.775389177,0.283543365,0.086730912,0.275759822,0.888806523,"[90, 107, 107]",109,38,0.888806523,Vita
32,8,3,relu,Dense,128,16,0.1,4,0.304347826,0.113063194,0.259935274,0.921052632,1,0.131578947,0.05,1,svae,0.93902891,breast-cancer-wisconsin,0.769613947,829.9620182,0.902149741,0.909191994,0.914381023,0.913639733,0.927353595,0.924759081,0.924388436,0.922535211,0.69199407,0.775389177,0.283543365,0.086730912,0.275759822,0.888806523,"[90, 98, 97, 98]",109,38,0.888806523,Vita
32,8,3,relu,Dense,128,16,0.1,5,0.452830189,0.113063194,0.259935274,0.921052632,1,0.131578947,0.05,1,svae,0.890659748,breast-cancer-wisconsin,0.769613947,829.9620182,0.902149741,0.909191994,0.914381023,0.913639733,0.927353595,0.924759081,0.924388436,0.922535211,0.69199407,0.775389177,0.283543365,0.086730912,0.275759822,0.888806523,"[93, 91, 91, 89, 100]",109,38,0.888806523,Vita
32,8,3,relu,Dense,128,16,0.1,1,0.1,0.101226084,0.380759566,0.828947368,1,0.289473684,0.01,1,svae,0.872498147,breast-cancer-wisconsin,0.786860026,85.76019202,0.915492958,0.917716827,0.922535211,0.922535211,0.90659748,0.915492958,0.917716827,0.922535211,0.772794663,0.969236471,0.240919199,0.04966642,0.229799852,0.939955523,[107],109,38,0.969236471,Chybny
32,8,3,relu,Dense,128,16,0.1,2,0.382978723,0.101226084,0.380759566,0.828947368,1,0.289473684,0.01,1,svae,0.933283914,breast-cancer-wisconsin,0.786860026,85.76019202,0.915492958,0.917716827,0.922535211,0.922535211,0.90659748,0.915492958,0.917716827,0.922535211,0.772794663,0.969236471,0.240919199,0.04966642,0.229799852,0.939955523,"[88, 102]",109,38,0.969236471,Chybny
32,8,3,relu,Dense,128,16,0.1,3,0.509803922,0.101226084,0.380759566,0.828947368,1,0.289473684,0.01,1,svae,0.956634544,breast-cancer-wisconsin,0.786860026,85.76019202,0.915492958,0.917716827,0.922535211,0.922535211,0.90659748,0.915492958,0.917716827,0.922535211,0.772794663,0.969236471,0.240919199,0.04966642,0.229799852,0.939955523,"[82, 101, 109]",109,38,0.969236471,Chybny
32,8,3,relu,Dense,128,16,0.1,1,0,0.092095288,0.64429008,0.578947368,NaN,0,0.005,1,svae,0.605633803,breast-cancer-wisconsin,0.814361686,NaN,0.922905856,0.922535211,0.923276501,0.922905856,0.921052632,0.922905856,0.922535211,0.922905856,0.778354337,0.981838399,0.211267606,0.030763529,0.210526316,0.963306153,[101],109,38,0.981838399,Chybny
32,8,3,relu,Dense,1024,16,0.1,1,0.416666667,0.106878867,0.288114763,0.946256486,1,0.210526316,0.05,1,svae,0.828947368,breast-cancer-wisconsin,0.776319355,63.35246695,0.884358784,0.899925871,0.90659748,0.90659748,0.916604893,0.920311342,0.920681987,0.921423277,0.654929577,0.866938473,0.309117865,0.080059303,0.310600445,0.902149741,[105],109,38,0.902149741,Vita
