dataset,anom_ratio,anom_count,max_prob,max_mem,max,mean_prob,mean_mem,mean
breast-cancer-wisconsin,0.05,1,0.9929577464788732,0.9336545589325427,prob,0.8873517420311343,0.6681430689399556,prob
breast-cancer-wisconsin,0.05,5,0.9981467753891772,0.9933283914010378,prob,0.9612027427724239,0.8626575240919199,prob
breast-cancer-wisconsin,0.05,10,0.9985174203113417,0.9988880652335064,mem,0.9737351742031135,0.9430040770941439,prob
breast-cancer-wisconsin,0.01,1,0.996664195700519,0.9501482579688659,prob,0.9055689399555226,0.7433747220163084,prob
breast-cancer-wisconsin,0.005,1,0.9955522609340253,0.9379169755374352,prob,0.9046979243884359,0.6990177909562639,prob
cardiotocography,0.05,1,0.9376766534765404,0.9158658375730168,prob,0.7505970887507065,0.6913910872432637,prob
cardiotocography,0.05,5,0.9442246090069719,0.9189749387601281,prob,0.8571756642170719,0.8499858677218765,prob
cardiotocography,0.05,10,0.9644808743169399,0.9323534953834558,prob,0.881843555681176,0.8793244771057094,prob
cardiotocography,0.01,1,0.91888072357264,0.9177501413227812,prob,0.7907504239683437,0.7554432824571321,prob
cardiotocography,0.01,5,0.9393254192575843,0.9295741473525533,prob,0.8646799039005089,0.8540583192010555,prob
cardiotocography,0.01,10,0.9515733936310533,0.9527981910684001,mem,0.8833827963067646,0.884313171283211,mem
cardiotocography,0.005,1,0.9385716977576786,0.9201055210099869,prob,0.7835323629169023,0.7216954022988507,prob
cardiotocography,0.005,5,0.952327115130959,0.9153005464480874,prob,0.8757313453928773,0.8421730732994158,prob
ecoli,0.05,1,0.9176829268292682,0.8231707317073171,prob,0.7145388719512196,0.6160442073170732,prob
ecoli,0.05,5,0.9908536585365854,1.0,mem,0.8961509146341463,0.8116615853658535,prob
ecoli,0.01,1,0.8810975609756098,0.7149390243902439,prob,0.7082888719512196,0.6065929878048781,prob
ecoli,0.005,1,0.9253048780487805,0.7629573170731707,prob,0.6875,0.6215701219512195,prob
glass,0.05,1,0.9739130434782608,0.8231884057971015,prob,0.6878985507246377,0.6222463768115941,prob
