hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,ar,i,model,dataset
32,8,3,relu,Dense,64,32,0.1,1,0.19047619047619047,0.9091919940696813,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.34782608695652173,0.9584877687175686,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,3,0.40816326530612246,0.9640474425500372,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,4,0.22727272727272727,0.9258710155670867,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,5,0.34782608695652173,0.9084507042253521,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,6,0.3829787234042553,0.9266123054114159,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,7,0.5,0.9785025945144551,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,8,0.5925925925925926,0.9770200148257969,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,9,0.6206896551724138,0.966641957005189,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,10,0.7096774193548387,0.9855448480355818,0.11714551582722259,0.31143005920198585,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,1,0.18604651162790697,0.9792438843587843,0.10560422167761896,0.32488401305986536,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.5925925925925926,0.9970348406226834,0.10560422167761896,0.32488401305986536,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,3,0.5660377358490566,0.9911045218680503,0.10560422167761896,0.32488401305986536,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,4,0.5555555555555556,0.9733135656041513,0.10560422167761896,0.32488401305986536,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,1,0.30434782608695654,0.9699777613046701,0.10046447632889992,0.3644522963178491,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.6440677966101694,0.9362490733876945,0.10046447632889992,0.3644522963178491,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.05128205128205128,0.7047813194959229,0.11332628969685847,0.24636414762506664,0.05,1,svae,breast-cancer-wisconsin
