hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,ar,i,model,dataset
32,3,3,relu,Dense,0.1,lklh,1,0.9551519644180875,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9807264640474425,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9848035581912528,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9799851742031134,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,5,0.9885100074128984,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.6297257227575983,0.01,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.7579688658265382,0.01,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.8013343217197924,0.01,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.8172720533728688,0.01,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.7160859896219423,0.005,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.7297998517420312,0.005,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9788732394366197,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9792438843587843,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9747961452928096,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9810971089696071,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,5,0.9725722757598221,0.05,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.7583395107487028,0.01,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.7835433654558933,0.01,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.7761304670126019,0.01,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.8180133432171979,0.01,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.8762045959970348,0.005,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.8613787991104522,0.005,1,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.8465530022238695,0.05,2,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.8825055596738325,0.05,2,svae,breast-cancer-wisconsin
