hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,auc,auc2,ar,i,model,dataset
32,8,3,relu,Dense,128,16,0.1,1,0.8428465530022239,0.6523350630096368,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.9518161601186064,0.8057820607857673,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9636767976278724,0.9766493699036323,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,4,0.910303928836175,0.9736842105263158,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,5,0.9243884358784284,0.9599703484062267,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,6,0.9431060044477391,0.9521868050407709,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,7,0.9633061527057079,0.9807264640474426,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,8,0.9588584136397331,0.9751667902149741,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,9,0.9772053372868793,0.9810971089696071,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,10,0.9922164566345442,0.9911045218680504,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.6842105263157895,0.631578947368421,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.7765011119347665,0.7505559673832468,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9733135656041512,0.9327279466271312,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.5300222386953298,0.8728687916975538,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.7763157894736843,0.6973684210526316,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.763157894736842,0.7236842105263158,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.8026315789473684,0.8289473684210527,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,4,0.8157894736842105,0.75,0.05,1,svae,breast-cancer-wisconsin
