hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,mpwmutualinf,varOfDists,knn5auc,knn9auc,knn15auc,knnsqrtauc,knn5a3auc,knn5a5auc,knn5a9auc,knn5asqrtauc
32,8,3,relu,Dense,128,16,0.1,1,0.05128205128205128,0.7705707931801334,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,2,0.1,0.8372868791697554,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,3,0.1,0.9184581171237954,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,4,0.2727272727272727,0.9557079318013344,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,5,0.44,0.9814677538917717,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,6,0.5098039215686274,0.9881393624907339,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,7,0.5818181818181818,0.9833209785025945,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,8,0.6779661016949152,0.9829503335804299,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,9,0.5818181818181818,0.9684951816160118,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
32,8,3,relu,Dense,128,16,0.1,10,0.6779661016949152,0.9484803558191252,0.09940990387535344,0.2714000819639545,0.9323573017049667,1.0,0.15789473684210525,0.05,1,svae,breast-cancer-wisconsin,0.753805550920381,493.6806194023539,0.9058561897702001,0.9147516679021498,0.9191994069681246,0.9188287620459601,0.9214232765011119,0.9255003706449222,0.9236471460340994,0.9225352112676057
