bes,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,bestof10auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,mpwmutualinf,knn5auc,bestof10knn5auc,knn9auc,knn15auc,knnsqrtauc,knn5a3auc,knn5a5auc,knn5a9auc,knn5asqrtauc,Betterauc,BetteraucBestof10
64,8,3,relu,Dense,32,16,0.1,1,0.592592593,0.985915493,0.988880652,0.065025336,0.328331984,0.828947368,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.788581744,0.944773907,0.961082283,0.942179392,0.938102298,0.936619718,0.945144552,0.944773907,0.942179392,0.936619718,Better,Better
64,8,3,relu,Dense,32,16,0.1,1,0.311111111,0.889362491,,0.054243534,0.580513824,0.644736842,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.797817768,0.916975537,,0.914751668,0.912157153,0.911415864,0.918458117,0.916975537,0.914751668,0.911415864,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.382978723,0.982950334,,0.061551414,0.314038861,0.671052632,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.783849202,0.961082283,,0.959599703,0.957746479,0.956263899,0.961452928,0.961082283,0.959599703,0.956263899,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.347826087,0.909562639,,0.062632082,0.878867209,0.75,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.793164129,0.921793921,,0.917346182,0.914751668,0.914381023,0.924759081,0.921793921,0.917346182,0.914381023,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.181818182,0.845070423,,0.059958815,0.471741889,0.512231282,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.781469455,0.932542624,,0.932171979,0.92920682,0.92846553,0.932171979,0.932542624,0.932171979,0.92846553,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.793650794,0.987398073,,0.057038076,0.281781136,0.789473684,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.785805745,0.925871016,,0.923276501,0.921423277,0.920681987,0.928836175,0.925871016,0.923276501,0.920681987,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.538461538,0.988880652,,0.062117214,0.409251634,0.710526316,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.788989825,0.912898443,,0.909933284,0.90659748,0.904744255,0.917716827,0.912898443,0.909933284,0.904744255,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.146341463,0.850074129,,0.057959153,0.588243903,0.552631579,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.803023829,0.931430689,,0.934766494,0.932913269,0.932171979,0.927353595,0.931430689,0.934766494,0.932171979,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.051282051,0.860266864,,0.058562062,0.645139315,0.513157895,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.795697246,0.952186805,,0.948851001,0.946997776,0.946627131,0.95404003,0.952186805,0.948851001,0.946627131,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.677966102,0.974054855,,0.06396842,0.275465281,0.828947368,NaN,0,0.005,1,svae,breast-cancer-wisconsin,0.807789647,0.952928095,,0.952186805,0.950704225,0.950704225,0.95255745,0.952928095,0.952186805,0.950704225,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.618181818,0.911786509,0.989992587,0.059780165,0.272963374,0.815789474,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.781215615,0.942550037,0.955522609,0.941438102,0.937731653,0.936249073,0.944032617,0.942550037,0.941438102,0.936249073,Worse,Better
64,8,3,relu,Dense,32,16,0.1,1,0.642857143,0.989251297,,0.054576779,0.359914781,0.855263158,1,0.342105263,0.01,1,svae,breast-cancer-wisconsin,0.805731767,0.908080059,,0.908080059,0.907709414,0.906968125,0.904002965,0.908080059,0.908080059,0.906968125,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.566037736,0.981097109,,0.061656219,0.269394553,0.828947368,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.776413989,0.955522609,,0.955151964,0.955151964,0.955151964,0.952928095,0.955522609,0.955151964,0.955151964,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.509803922,0.955151964,,0.059793006,0.28718655,0.855263158,1,0.421052632,0.01,1,svae,breast-cancer-wisconsin,0.773672125,0.914381023,,0.910674574,0.909933284,0.910674574,0.914010378,0.914381023,0.910674574,0.910674574,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.490566038,0.870830245,,0.05885096,0.22687983,0.799851742,1,0.078947368,0.01,1,svae,breast-cancer-wisconsin,0.766763021,0.931060044,,0.930318755,0.928094885,0.927353595,0.92920682,0.931060044,0.930318755,0.927353595,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.618181818,0.978873239,,0.059926888,0.294060117,0.934210526,1,0.342105263,0.01,1,svae,breast-cancer-wisconsin,0.773303377,0.919940697,,0.919199407,0.919199407,0.917716827,0.920311342,0.919940697,0.919199407,0.917716827,Better,
64,8,3,relu,Dense,32,16,0.1,1,0,0.853224611,,0.058190931,0.338915657,0.757227576,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.770157807,0.910303929,,0.909191994,0.906226835,0.90437361,0.914751668,0.910303929,0.909191994,0.90437361,Worse,
64,8,3,relu,Dense,32,16,0.1,1,0.051282051,0.983691623,,0.062982447,0.313219465,0.909191994,0.9375,0.394736842,0.01,1,svae,breast-cancer-wisconsin,0.781123966,0.92994811,,0.931801334,0.931801334,0.930318755,0.924759081,0.92994811,0.931801334,0.930318755,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.340425532,0.97516679,,0.059341915,0.324113295,0.894736842,1,0.526315789,0.01,1,svae,breast-cancer-wisconsin,0.782368904,0.945515196,,0.945515196,0.945144552,0.945515196,0.942179392,0.945515196,0.945515196,0.945515196,Better,
64,8,3,relu,Dense,32,16,0.1,1,0.642857143,0.989992587,,0.062487444,0.361352076,0.878243143,1,0.421052632,0.01,1,svae,breast-cancer-wisconsin,0.766783387,0.948851001,,0.949962936,0.948851001,0.949221646,0.948480356,0.948851001,0.949962936,0.949221646,Better,
64,8,3,relu,Dense,32,16,0.1,2,0.741935484,0.969607116,0.99925871,0.059780165,0.272963374,0.815789474,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.781215615,0.942550037,0.955522609,0.941438102,0.937731653,0.936249073,0.944032617,0.942550037,0.941438102,0.936249073,Better,Better
64,8,3,relu,Dense,32,16,0.1,2,0.754098361,0.968124537,,0.054576779,0.359914781,0.855263158,1,0.342105263,0.01,1,svae,breast-cancer-wisconsin,0.805731767,0.908080059,,0.908080059,0.907709414,0.906968125,0.904002965,0.908080059,0.908080059,0.906968125,Better,
64,8,3,relu,Dense,32,16,0.1,2,0.793650794,0.987027428,,0.061656219,0.269394553,0.828947368,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.776413989,0.955522609,,0.955151964,0.955151964,0.955151964,0.952928095,0.955522609,0.955151964,0.955151964,Better,
64,8,3,relu,Dense,32,16,0.1,2,0.741935484,0.971830986,,0.059793006,0.28718655,0.855263158,1,0.421052632,0.01,1,svae,breast-cancer-wisconsin,0.773672125,0.914381023,,0.910674574,0.909933284,0.910674574,0.914010378,0.914381023,0.910674574,0.910674574,Better,
64,8,3,relu,Dense,32,16,0.1,2,0.75,0.965530022,,0.05885096,0.22687983,0.799851742,1,0.078947368,0.01,1,svae,breast-cancer-wisconsin,0.766763021,0.931060044,,0.930318755,0.928094885,0.927353595,0.92920682,0.931060044,0.930318755,0.927353595,Better,
64,8,3,relu,Dense,32,16,0.1,2,0.741935484,0.988880652,,0.059926888,0.294060117,0.934210526,1,0.342105263,0.01,1,svae,breast-cancer-wisconsin,0.773303377,0.919940697,,0.919199407,0.919199407,0.917716827,0.920311342,0.919940697,0.919199407,0.917716827,Better,
64,8,3,relu,Dense,32,16,0.1,2,0.408163265,0.972201631,,0.058190931,0.338915657,0.757227576,1,0.236842105,0.01,1,svae,breast-cancer-wisconsin,0.770157807,0.910303929,,0.909191994,0.906226835,0.90437361,0.914751668,0.910303929,0.909191994,0.90437361,Better,
