dataset,anom_sel,anom_ratio,anom_seen,pxvita,f2,f3
abalone,rnd,0.05,1,0.9914153132250579,0.8677494199535964,0.8174013921113689
abalone,rnd,0.05,2,0.9914153132250579,0.8900232018561486,0.8176334106728538
abalone,rnd,0.05,3,0.9914153132250579,0.8946635730858468,0.8303944315545243
abalone,rnd,0.05,4,0.9914153132250579,0.9062645011600929,0.9076566125290022
abalone,rnd,0.05,5,0.9914153132250579,0.9712296983758701,0.9700696055684455
abalone,rnd,0.05,6,0.9914153132250579,0.962877030162413,0.9809744779582367
abalone,rnd,0.01,1,0.9907192575406032,0.9132250580046405,0.7763341067285383
abalone,rnd,0.01,2,0.9907192575406032,0.8881670533642693,0.7946635730858468
abalone,rnd,0.01,3,0.9907192575406032,0.9197215777262182,0.8754060324825985
abalone,rnd,0.01,4,0.9907192575406032,0.936890951276102,0.933874709976798
abalone,rnd,0.01,5,0.9907192575406032,0.9587006960556845,0.9658932714617169
abalone,rnd,0.01,6,0.9907192575406032,0.9700696055684455,0.9703016241299304
abalone,rnd,0.005,1,0.9902552204176333,0.8046403712296983,0.7689095127610208
abalone,rnd,0.005,2,0.9902552204176333,0.8566125290023201,0.7721577726218097
abalone,rnd,0.005,3,0.9902552204176333,0.9157772621809744,0.8930394431554524
abalone,rnd,0.005,4,0.9902552204176333,0.9598607888631092,0.9535962877030162
abalone,rnd,0.005,5,0.9902552204176333,0.9487238979118331,0.9491879350348027
abalone,rnd,0.005,6,0.9902552204176333,0.9642691415313227,0.9719257540603248
abalone,best,0.05,1,0.9914153132250579,0.8566125290023201,0.6939675174013921
abalone,best,0.05,2,0.9914153132250579,0.8366589327146171,0.6837587006960557
abalone,best,0.05,3,0.9914153132250579,0.8756380510440837,0.6879350348027842
abalone,best,0.05,4,0.9914153132250579,0.8208816705336428,0.6494199535962878
abalone,best,0.05,5,0.9914153132250579,0.8234338747099768,0.62877030162413
abalone,best,0.05,6,0.9914153132250579,0.9698375870069607,0.9693735498839908
abalone,best,0.01,1,0.9907192575406032,0.8672853828306264,0.7368909512761022
abalone,best,0.01,2,0.9907192575406032,0.874245939675174,0.7440835266821346
abalone,best,0.01,3,0.9907192575406032,0.8621809744779583,0.7187935034802784
abalone,best,0.01,4,0.9907192575406032,0.8392111368909514,0.6677494199535963
abalone,best,0.01,5,0.9907192575406032,0.8510440835266821,0.6498839907192575
abalone,best,0.01,6,0.9907192575406032,0.9691415313225059,0.9786542923433876
abalone,best,0.005,1,0.9902552204176333,0.856844547563805,0.717401392111369
abalone,best,0.005,2,0.9902552204176333,0.8633410672853827,0.7178654292343387
abalone,best,0.005,3,0.9902552204176333,0.8728538283062646,0.7143851508120651
abalone,best,0.005,4,0.9902552204176333,0.8380510440835266,0.6900232018561485
abalone,best,0.005,5,0.9902552204176333,0.848027842227378,0.682830626450116
abalone,best,0.005,6,0.9902552204176333,0.957308584686775,0.9714617169373551
blood-transfusion,rnd,0.05,1,0.9103896103896103,0.9922077922077923,0.9922077922077921
blood-transfusion,rnd,0.05,2,0.9103896103896103,0.9935064935064934,0.9883116883116883
blood-transfusion,rnd,0.05,3,0.9103896103896103,0.9974025974025974,0.9831168831168832
blood-transfusion,rnd,0.05,4,0.9103896103896103,0.996103896103896,0.9948051948051948
blood-transfusion,rnd,0.05,5,0.9103896103896103,0.9948051948051948,0.9948051948051948
blood-transfusion,rnd,0.05,6,0.9103896103896103,0.996103896103896,0.9935064935064934
blood-transfusion,rnd,0.01,1,0.9155844155844155,0.9896103896103895,0.9857142857142858
blood-transfusion,rnd,0.01,2,0.9155844155844155,0.9974025974025974,0.9935064935064934
blood-transfusion,rnd,0.01,3,0.9155844155844155,0.9974025974025974,0.9948051948051948
blood-transfusion,rnd,0.01,4,0.9155844155844155,0.996103896103896,0.9948051948051948
blood-transfusion,rnd,0.005,1,0.9649350649350648,0.9883116883116884,0.9766233766233766
blood-transfusion,rnd,0.005,2,0.9649350649350648,0.9948051948051948,1.0
blood-transfusion,best,0.05,1,0.9103896103896103,0.9896103896103895,0.9909090909090909
blood-transfusion,best,0.05,2,0.9103896103896103,0.9909090909090909,0.9909090909090909
blood-transfusion,best,0.05,3,0.9103896103896103,0.996103896103896,0.9974025974025974
blood-transfusion,best,0.05,4,0.9103896103896103,0.996103896103896,0.9974025974025974
blood-transfusion,best,0.05,5,0.9103896103896103,0.9974025974025974,0.9974025974025974
blood-transfusion,best,0.05,6,0.9103896103896103,0.9974025974025974,0.9987012987012986
blood-transfusion,best,0.01,1,0.9155844155844155,0.9896103896103895,0.9883116883116884
blood-transfusion,best,0.01,2,0.9155844155844155,0.9922077922077921,0.9909090909090909
blood-transfusion,best,0.01,3,0.9155844155844155,0.996103896103896,0.9922077922077923
blood-transfusion,best,0.01,4,0.9155844155844155,0.996103896103896,0.9948051948051948
blood-transfusion,best,0.005,1,0.9649350649350648,0.9883116883116884,0.9883116883116884
blood-transfusion,best,0.005,2,0.9649350649350648,0.9935064935064934,0.996103896103896
breast-cancer-wisconsin,rnd,0.05,1,0.9144922164566344,0.9392512972572273,0.9353595255744998
breast-cancer-wisconsin,rnd,0.05,2,0.9144922164566344,0.9654188287620459,0.9424388435878427
breast-cancer-wisconsin,rnd,0.05,3,0.9144922164566344,0.9681616011860639,0.9535211267605636
breast-cancer-wisconsin,rnd,0.05,4,0.9144922164566344,0.97824314306894,0.9656782802075611
breast-cancer-wisconsin,rnd,0.05,5,0.9144922164566344,0.9818383988139361,0.9663454410674573
breast-cancer-wisconsin,rnd,0.05,6,0.9144922164566344,0.9851000741289843,0.9728687916975538
breast-cancer-wisconsin,rnd,0.05,7,0.9144922164566344,0.9876204595997035,0.976315789473684
breast-cancer-wisconsin,rnd,0.05,8,0.9144922164566344,0.9911045218680504,0.9779095626389918
breast-cancer-wisconsin,rnd,0.05,9,0.9144922164566344,0.9883246849518162,0.9784655300222387
breast-cancer-wisconsin,rnd,0.05,10,0.9144922164566344,0.9895848776871757,0.9779095626389918
