dataset,prname,k,auc,anom_ratio
abalone,px_κ,1,0.9620817843866171,0.05
abalone,px_δ,1,0.8057620817843867,0.05
abalone,px_γ,1,0.9620817843866171,0.05
abalone,px_κ,3,0.9903345724907062,0.05
abalone,px_δ,3,0.7956319702602229,0.05
abalone,px_γ,3,0.9906133828996284,0.05
abalone,px_κ,5,0.9893122676579924,0.05
abalone,px_δ,5,0.7818773234200744,0.05
abalone,px_γ,5,0.9902416356877323,0.05
abalone,px_κ,9,0.9871747211895912,0.05
abalone,px_δ,9,0.7646840148698886,0.05
abalone,px_γ,9,0.9898698884758363,0.05
abalone,px_κ,15,0.9820631970260223,0.05
abalone,px_δ,15,0.7542750929368031,0.05
abalone,px_γ,15,0.9880111524163568,0.05
abalone,px_κ,21,0.9801115241635688,0.05
abalone,px_δ,21,0.7355018587360594,0.05
abalone,px_γ,21,0.9865241635687733,0.05
abalone,px_κ,29,0.9722351301115242,0.05
abalone,px_δ,29,0.7408224907063197,0.05
abalone,px_γ,29,0.9823420074349442,0.05
abalone,px_κ,39,0.9654972118959108,0.05
abalone,px_δ,39,0.7397769516728625,0.05
abalone,px_γ,39,0.9794377323420075,0.05
abalone,px_κ,1,0.9408921933085501,0.01
abalone,px_δ,1,0.9030669144981414,0.01
abalone,px_γ,1,0.9408921933085501,0.01
abalone,px_κ,3,0.9927509293680297,0.01
abalone,px_δ,3,0.8592007434944238,0.01
abalone,px_γ,3,0.9903345724907062,0.01
abalone,px_κ,5,0.9922862453531598,0.01
abalone,px_δ,5,0.8583643122676581,0.01
abalone,px_γ,5,0.991635687732342,0.01
abalone,px_κ,9,0.9899628252788103,0.01
abalone,px_δ,9,0.8319702602230483,0.01
abalone,px_γ,9,0.9911710037174721,0.01
abalone,px_κ,15,0.986895910780669,0.01
abalone,px_δ,15,0.8171933085501859,0.01
abalone,px_γ,15,0.9897769516728625,0.01
abalone,px_κ,21,0.9844795539033457,0.01
abalone,px_δ,21,0.8100371747211895,0.01
abalone,px_γ,21,0.9888475836431226,0.01
abalone,px_κ,29,0.982342007434944,0.01
abalone,px_δ,29,0.8119888475836431,0.01
abalone,px_γ,29,0.9875464684014869,0.01
abalone,px_κ,39,0.978903345724907,0.01
abalone,px_δ,39,0.8094795539033457,0.01
abalone,px_γ,39,0.9855947955390334,0.01
abalone,px_κ,1,0.9502788104089219,0.005
abalone,px_δ,1,0.9039962825278811,0.005
abalone,px_γ,1,0.9502788104089219,0.005
abalone,px_κ,3,0.9938661710037173,0.005
abalone,px_δ,3,0.879275092936803,0.005
abalone,px_γ,3,0.991635687732342,0.005
abalone,px_κ,5,0.9931226765799257,0.005
abalone,px_δ,5,0.8694237918215613,0.005
abalone,px_γ,5,0.9930297397769516,0.005
abalone,px_κ,9,0.9911710037174719,0.005
