hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,aucpxv,aucf2,aucf3,ar,i,κ,anom_sel,model,dataset
32,8,3,relu,Dense,32,0,0.01,1,0.8925129725722758,0.9532987398072647,0.9907338769458858,0.05,1,0.5,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,1,0.8925129725722758,0.9444032616753151,0.9911045218680504,0.05,1,1.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,1,0.8925129725722758,0.9499629355077834,0.9911045218680504,0.05,1,3.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,1,0.8925129725722758,0.9299481097108969,0.9907338769458859,0.05,1,5.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,1,0.8925129725722758,0.9318013343217197,0.9907338769458858,0.05,1,10.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,1,0.8925129725722758,0.9355077835433654,0.9807264640474426,0.05,1,50.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,2,0.8925129725722758,0.9595997034840623,0.9002965159377316,0.05,1,0.5,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,2,0.8925129725722758,0.9699777613046701,0.9014084507042253,0.05,1,1.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,2,0.8925129725722758,0.9399555226093402,0.9032616753150482,0.05,1,3.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,2,0.8925129725722758,0.9199406968124536,0.9040029651593773,0.05,1,5.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,2,0.8925129725722758,0.9128984432913269,0.9106745737583395,0.05,1,10.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,2,0.8925129725722758,0.9080800593031876,0.9240177909562639,0.05,1,50.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,3,0.8925129725722758,0.9629355077835433,0.9069681245366938,0.05,1,0.5,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,3,0.8925129725722758,0.9636767976278724,0.9080800593031875,0.05,1,1.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,3,0.8925129725722758,0.958117123795404,0.9114158636026686,0.05,1,3.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,3,0.8925129725722758,0.939214232765011,0.9117865085248332,0.05,1,5.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,3,0.8925129725722758,0.9314306893995552,0.9180874722016308,0.05,1,10.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,3,0.8925129725722758,0.9062268346923648,0.9303187546330616,0.05,1,50.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,4,0.8925129725722758,0.975166790214974,0.9395848776871757,0.05,1,0.5,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,4,0.8925129725722758,0.967383246849518,0.9392142327650111,0.05,1,1.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,4,0.8925129725722758,0.9740548554484804,0.9384729429206821,0.05,1,3.0,rnd,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,0,0.01,4,0.8925129725722758,0.9540400296515938,0.9369903632320238,0.05,1,5.0,rnd,svae,breast-cancer-wisconsin
