dataset,anom_sel,anom_ratio,anom_seen,pxvita,f2,f3,knnauc
blood-transfusion,rnd,0.05,1,0.9103896103896103,0.9922077922077923,0.9922077922077921,0.9744791666666666
blood-transfusion,rnd,0.05,2,0.9103896103896103,0.9935064935064934,0.9883116883116883,0.9744791666666666
blood-transfusion,rnd,0.05,3,0.9103896103896103,0.9974025974025974,0.9831168831168832,0.9744791666666666
blood-transfusion,rnd,0.05,4,0.9103896103896103,0.996103896103896,0.9948051948051948,0.9744791666666666
blood-transfusion,rnd,0.05,5,0.9103896103896103,0.9948051948051948,0.9948051948051948,0.9744791666666666
blood-transfusion,rnd,0.05,6,0.9103896103896103,0.996103896103896,0.9935064935064934,0.9744791666666666
blood-transfusion,best,0.05,1,0.9103896103896103,0.9896103896103895,0.9909090909090909,0.9744791666666666
blood-transfusion,best,0.05,2,0.9103896103896103,0.9909090909090909,0.9909090909090909,0.9744791666666666
blood-transfusion,best,0.05,3,0.9103896103896103,0.996103896103896,0.9974025974025974,0.9744791666666666
blood-transfusion,best,0.05,4,0.9103896103896103,0.996103896103896,0.9974025974025974,0.9744791666666666
blood-transfusion,best,0.05,5,0.9103896103896103,0.9974025974025974,0.9974025974025974,0.9744791666666666
blood-transfusion,best,0.05,6,0.9103896103896103,0.9974025974025974,0.9987012987012986,0.9744791666666666
breast-cancer-wisconsin,rnd,0.05,1,0.9144922164566344,0.9392512972572273,0.9353595255744998,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,2,0.9144922164566344,0.9654188287620459,0.9424388435878427,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,3,0.9144922164566344,0.9681616011860639,0.9535211267605636,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,4,0.9144922164566344,0.97824314306894,0.9656782802075611,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,5,0.9144922164566344,0.9818383988139361,0.9663454410674573,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,6,0.9144922164566344,0.9851000741289843,0.9728687916975538,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,7,0.9144922164566344,0.9876204595997035,0.976315789473684,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,8,0.9144922164566344,0.9911045218680504,0.9779095626389918,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,9,0.9144922164566344,0.9883246849518162,0.9784655300222387,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,10,0.9144922164566344,0.9895848776871757,0.9779095626389918,0.9189278030121921
breast-cancer-wisconsin,best,0.05,1,0.9144922164566344,0.9441067457375836,0.9834692364714602,0.9189278030121921
breast-cancer-wisconsin,best,0.05,2,0.9144922164566344,0.9586360266864344,0.9806893995552259,0.9189278030121921
breast-cancer-wisconsin,best,0.05,3,0.9144922164566344,0.9659747961452927,0.9734618235730169,0.9189278030121921
breast-cancer-wisconsin,best,0.05,4,0.9144922164566344,0.968754633061527,0.9755374351371386,0.9189278030121921
breast-cancer-wisconsin,best,0.05,5,0.9144922164566344,0.9763528539659007,0.978650852483321,0.9189278030121921
breast-cancer-wisconsin,best,0.05,6,0.9144922164566344,0.9747220163083767,0.980281690140845,0.9189278030121921
breast-cancer-wisconsin,best,0.05,7,0.9144922164566344,0.9825055596738326,0.9787620459599704,0.9189278030121921
breast-cancer-wisconsin,best,0.05,8,0.9144922164566344,0.9834321719792438,0.9817272053372867,0.9189278030121921
breast-cancer-wisconsin,best,0.05,9,0.9144922164566344,0.9868791697553743,0.9830615270570793,0.9189278030121921
breast-cancer-wisconsin,best,0.05,10,0.9144922164566344,0.9873980726464048,0.9857672349888805,0.9189278030121921
breast-tissue,rnd,0.05,1,0.9897435897435898,0.9512820512820515,0.9820512820512821,0.746875
breast-tissue,rnd,0.05,2,0.9897435897435898,0.9820512820512821,0.9820512820512821,0.746875
breast-tissue,rnd,0.05,3,0.9897435897435898,0.9974358974358974,1.0,0.746875
breast-tissue,best,0.05,1,0.9897435897435898,0.9589743589743591,0.976923076923077,0.746875
breast-tissue,best,0.05,2,0.9897435897435898,0.9871794871794872,0.9897435897435898,0.746875
breast-tissue,best,0.05,3,0.9897435897435898,0.9974358974358974,1.0,0.746875
cardiotocography,rnd,0.05,1,0.618871302053891,0.8657339363105333,0.8566515922366685,0.7147622513343038
cardiotocography,rnd,0.05,2,0.618871302053891,0.8890804597701149,0.8644055021669492,0.7147622513343038
cardiotocography,rnd,0.05,3,0.618871302053891,0.906510269455436,0.8702374222724704,0.7147622513343038
cardiotocography,rnd,0.05,4,0.618871302053891,0.9087431693989071,0.8856227623892974,0.7147622513343038
cardiotocography,rnd,0.05,5,0.618871302053891,0.9147635198794047,0.8986244582626719,0.7147622513343038
cardiotocography,rnd,0.05,6,0.618871302053891,0.9141888072357267,0.9017900885622762,0.7147622513343038
cardiotocography,rnd,0.05,7,0.618871302053891,0.9175051818353117,0.9056340682117957,0.7147622513343038
cardiotocography,rnd,0.05,8,0.618871302053891,0.9185980780101752,0.9105615225174297,0.7147622513343038
cardiotocography,rnd,0.05,9,0.618871302053891,0.9225268513284341,0.9151215375918598,0.7147622513343038
cardiotocography,rnd,0.05,10,0.618871302053891,0.9219615602035048,0.9192952703975881,0.7147622513343038
cardiotocography,best,0.05,1,0.618871302053891,0.5644243452044471,0.5700018843037498,0.7147622513343038
cardiotocography,best,0.05,2,0.618871302053891,0.630488034671189,0.6109101187111362,0.7147622513343038
cardiotocography,best,0.05,3,0.618871302053891,0.6892123610325985,0.6820991143772377,0.7147622513343038
cardiotocography,best,0.05,4,0.618871302053891,0.74415865837573,0.7446485773506689,0.7147622513343038
cardiotocography,best,0.05,5,0.618871302053891,0.7973619747503298,0.8034859619370642,0.7147622513343038
cardiotocography,best,0.05,6,0.618871302053891,0.8200678349349916,0.8228471829658941,0.7147622513343038
cardiotocography,best,0.05,7,0.618871302053891,0.8291784435651028,0.8352364801205955,0.7147622513343038
cardiotocography,best,0.05,8,0.618871302053891,0.8390898812888639,0.8454682494818163,0.7147622513343038
cardiotocography,best,0.05,9,0.618871302053891,0.8484642924439421,0.8603071415112116,0.7147622513343038
cardiotocography,best,0.05,10,0.618871302053891,0.8627190503109101,0.864056905973243,0.7147622513343038
ecoli,rnd,0.05,1,0.8278963414634146,0.7467987804878049,0.7445121951219512,0.895294117647059
ecoli,rnd,0.05,2,0.8278963414634146,0.8208841463414634,0.8234756097560976,0.895294117647059
ecoli,rnd,0.05,3,0.8278963414634146,0.8911585365853659,0.894512195121951,0.895294117647059
ecoli,rnd,0.05,4,0.8278963414634146,0.9222560975609756,0.9301829268292682,0.895294117647059
ecoli,rnd,0.05,5,0.8278963414634146,0.9286585365853659,0.9352134146341463,0.895294117647059
ecoli,rnd,0.05,6,0.8278963414634146,0.9460365853658539,0.9408536585365855,0.895294117647059
ecoli,rnd,0.05,7,0.8278963414634146,0.9480182926829267,0.9434451219512197,0.895294117647059
ecoli,rnd,0.05,8,0.8278963414634146,0.9513719512195123,0.9489329268292682,0.895294117647059
ecoli,rnd,0.05,9,0.8278963414634146,0.9589939024390244,0.9567073170731707,0.895294117647059
ecoli,best,0.05,1,0.8278963414634146,0.7861280487804878,0.7763719512195123,0.895294117647059
ecoli,best,0.05,2,0.8278963414634146,0.7894817073170731,0.7858231707317074,0.895294117647059
ecoli,best,0.05,3,0.8278963414634146,0.818140243902439,0.8140243902439025,0.895294117647059
ecoli,best,0.05,4,0.8278963414634146,0.8144817073170731,0.8198170731707318,0.895294117647059
ecoli,best,0.05,5,0.8278963414634146,0.8353658536585366,0.8551829268292683,0.895294117647059
ecoli,best,0.05,6,0.8278963414634146,0.907469512195122,0.9109756097560975,0.895294117647059
ecoli,best,0.05,7,0.8278963414634146,0.9309451219512195,0.9428353658536585,0.895294117647059
ecoli,best,0.05,8,0.8278963414634146,0.9510670731707318,0.9509146341463415,0.895294117647059
ecoli,best,0.05,9,0.8278963414634146,0.9557926829268293,0.9545731707317072,0.895294117647059
glass,rnd,0.05,1,0.7669565217391305,0.7823188405797101,0.7936231884057972,0.64312567132116
glass,rnd,0.05,2,0.7669565217391305,0.8376811594202899,0.8484057971014491,0.64312567132116
glass,rnd,0.05,3,0.7669565217391305,0.8504347826086956,0.8594202898550725,0.64312567132116
glass,rnd,0.05,4,0.7669565217391305,0.8576811594202898,0.8689855072463768,0.64312567132116
glass,rnd,0.05,5,0.7669565217391305,0.8573913043478262,0.8721739130434785,0.64312567132116
glass,best,0.05,1,0.7669565217391305,0.813913043478261,0.8055072463768116,0.64312567132116
glass,best,0.05,2,0.7669565217391305,0.8310144927536232,0.8295652173913043,0.64312567132116
glass,best,0.05,3,0.7669565217391305,0.8417391304347828,0.8489855072463769,0.64312567132116
glass,best,0.05,4,0.7669565217391305,0.8602898550724637,0.8611594202898549,0.64312567132116
glass,best,0.05,5,0.7669565217391305,0.8692753623188405,0.8733333333333333,0.64312567132116
haberman,rnd,0.05,1,0.9044444444444444,0.968888888888889,0.9844444444444445,0.9489795918367347
haberman,rnd,0.05,2,0.9044444444444444,0.9733333333333334,0.968888888888889,0.9489795918367347
haberman,rnd,0.05,3,0.9044444444444444,0.9755555555555556,0.9800000000000001,0.9489795918367347
haberman,best,0.05,1,0.9044444444444444,0.957777777777778,0.9622222222222223,0.9489795918367347
haberman,best,0.05,2,0.9044444444444444,0.9777777777777779,0.9822222222222223,0.9489795918367347
haberman,best,0.05,3,0.9044444444444444,0.9866666666666667,0.9800000000000001,0.9489795918367347
ionosphere,rnd,0.05,1,0.890793650793651,0.9152380952380954,0.9682539682539684,0.9359410430839002
ionosphere,rnd,0.05,2,0.890793650793651,0.940952380952381,0.9784126984126985,0.9359410430839002
