dataset,anom_sel,anom_ratio,anom_seen,pxvita,f2,f3,knnauc
abalone,rnd,0.05,1,0.9914153132250579,0.8677494199535964,0.8174013921113689,0.9906133828996284
abalone,rnd,0.05,6,0.9914153132250579,0.962877030162413,0.9809744779582367,0.9906133828996284
abalone,rnd,0.01,1,0.9907192575406032,0.9132250580046405,0.7763341067285383,0.9927509293680297
abalone,rnd,0.01,6,0.9907192575406032,0.9700696055684455,0.9703016241299304,0.9927509293680297
abalone,rnd,0.005,1,0.9902552204176333,0.8046403712296983,0.7689095127610208,0.9938661710037173
abalone,rnd,0.005,6,0.9902552204176333,0.9642691415313227,0.9719257540603248,0.9938661710037173
blood-transfusion,rnd,0.05,1,0.9103896103896103,0.9922077922077923,0.9922077922077921,0.9744791666666666
blood-transfusion,rnd,0.05,6,0.9103896103896103,0.996103896103896,0.9935064935064934,0.9744791666666666
blood-transfusion,rnd,0.01,1,0.9155844155844155,0.9896103896103895,0.9857142857142858,0.9729166666666668
blood-transfusion,rnd,0.01,4,0.9155844155844155,0.996103896103896,0.9948051948051948,0.9729166666666668
blood-transfusion,rnd,0.005,1,0.9649350649350648,0.9883116883116884,0.9766233766233766,0.9739583333333333
blood-transfusion,rnd,0.005,2,0.9649350649350648,0.9948051948051948,1.0,0.9739583333333333
breast-cancer-wisconsin,rnd,0.05,1,0.9144922164566344,0.9392512972572273,0.9353595255744998,0.9189278030121921
breast-cancer-wisconsin,rnd,0.05,10,0.9144922164566344,0.9895848776871757,0.9779095626389918,0.9189278030121921
breast-cancer-wisconsin,rnd,0.01,1,0.9365826538176428,0.9449592290585619,0.9470348406226835,0.9351422424097537
breast-cancer-wisconsin,rnd,0.01,4,0.9365826538176428,0.9816160118606373,0.9734988880652337,0.9351422424097537
breast-cancer-wisconsin,rnd,0.005,1,0.9542994810971089,0.9365085248332097,0.9552260934025203,0.9351661486971073
breast-cancer-wisconsin,rnd,0.005,2,0.9542994810971089,0.957709414381023,0.9638250555967385,0.9351661486971073
breast-tissue,rnd,0.05,1,0.9897435897435898,0.9512820512820515,0.9820512820512821,0.746875
breast-tissue,rnd,0.05,3,0.9897435897435898,0.9974358974358974,1.0,0.746875
breast-tissue,rnd,0.01,1,0.9923076923076923,0.9820512820512821,0.9923076923076923,0.9953125
breast-tissue,rnd,0.005,1,0.9974358974358974,0.9717948717948719,0.9897435897435898,0.99375
cardiotocography,rnd,0.05,1,0.618871302053891,0.8657339363105333,0.8566515922366685,0.7147622513343038
cardiotocography,rnd,0.05,10,0.618871302053891,0.9219615602035048,0.9192952703975881,0.7147622513343038
cardiotocography,rnd,0.01,1,0.6725833804409271,0.8925570001884303,0.8938948558507631,0.7114446870451239
cardiotocography,rnd,0.01,10,0.6725833804409271,0.9278029018277746,0.9143678160919538,0.7114446870451239
cardiotocography,rnd,0.005,1,0.6667231957791595,0.8625965705671754,0.88648012059544,0.7075509461426492
cardiotocography,rnd,0.005,8,0.6667231957791595,0.9250800829093653,0.9168362540041454,0.7075509461426492
ecoli,rnd,0.05,1,0.8278963414634146,0.7467987804878049,0.7445121951219512,0.895294117647059
ecoli,rnd,0.05,9,0.8278963414634146,0.9589939024390244,0.9567073170731707,0.895294117647059
ecoli,rnd,0.01,1,0.8606707317073171,0.7650914634146342,0.7545731707317073,0.9212745098039216
ecoli,rnd,0.01,2,0.8606707317073171,0.8638719512195122,0.8682926829268294,0.9212745098039216
ecoli,rnd,0.005,1,0.8571646341463415,0.7838414634146341,0.7902439024390244,0.8984313725490196
glass,rnd,0.05,1,0.7669565217391305,0.7823188405797101,0.7936231884057972,0.64312567132116
glass,rnd,0.05,5,0.7669565217391305,0.8573913043478262,0.8721739130434785,0.64312567132116
glass,rnd,0.01,1,0.8408695652173913,0.7634782608695652,0.7756521739130434,0.6890977443609023
glass,rnd,0.005,1,0.8344927536231885,0.7823188405797102,0.8069565217391304,0.7272556390977443
haberman,rnd,0.05,1,0.9044444444444444,0.968888888888889,0.9844444444444445,0.9489795918367347
haberman,rnd,0.05,3,0.9044444444444444,0.9755555555555556,0.9800000000000001,0.9489795918367347
haberman,rnd,0.01,1,0.9088888888888891,0.9711111111111113,0.9800000000000001,0.9660714285714287
haberman,rnd,0.01,2,0.9088888888888891,0.968888888888889,0.9822222222222223,0.9660714285714287
haberman,rnd,0.005,1,0.9111111111111111,0.9733333333333334,0.9777777777777779,0.9464285714285714
ionosphere,rnd,0.05,1,0.8907936507936508,0.9152380952380952,0.9682539682539684,0.9359410430839002
ionosphere,rnd,0.05,10,0.8907936507936508,0.9679365079365081,0.9892063492063492,0.9359410430839002
ionosphere,rnd,0.01,1,0.9095238095238096,0.9415873015873016,0.9774603174603176,0.9482142857142858
ionosphere,rnd,0.01,2,0.9095238095238096,0.9469841269841272,0.9828571428571429,0.9482142857142858
ionosphere,rnd,0.005,1,0.9371428571428572,0.946031746031746,0.974920634920635,0.9632936507936506
iris,rnd,0.05,1,0.8877777777777778,0.8766666666666667,0.9155555555555555,0.8529870129870131
iris,rnd,0.05,5,0.8877777777777778,0.9600000000000002,0.9738888888888889,0.8529870129870131
iris,rnd,0.01,1,0.9394444444444445,0.8538888888888888,0.89,0.932
iris,rnd,0.005,1,0.9466666666666667,0.8883333333333333,0.9244444444444445,0.9116363636363637
magic-telescope,rnd,0.05,1,0.9240777780664005,0.6980469618123202,0.6849706903568243,0.9332572798352886
magic-telescope,rnd,0.05,10,0.9240777780664005,0.8416686148704228,0.7809244154667174,0.9332572798352886
magic-telescope,rnd,0.01,1,0.9425382353026066,0.7152257174440722,0.6755012656108845,0.9459441214712057
magic-telescope,rnd,0.01,10,0.9425382353026066,0.85873964205003,0.8097332259656597,0.9459441214712057
magic-telescope,rnd,0.005,1,0.943857818646763,0.7133487313585762,0.6764892935380246,0.9489508452288214
magic-telescope,rnd,0.005,10,0.943857818646763,0.8821040889189057,0.8461274760226626,0.9489508452288214
musk-2,rnd,0.05,1,0.4843923101987618,0.8115272964246572,0.8520972185195059,0.6280175176244394
musk-2,rnd,0.05,10,0.4843923101987618,0.8668399537901003,0.8803089546491305,0.6280175176244394
musk-2,rnd,0.01,1,0.6402633371841583,0.787960247637667,0.8365324802274949,0.8903453677989036
musk-2,rnd,0.01,10,0.6402633371841583,0.8529207026274476,0.8764433188186853,0.8903453677989036
musk-2,rnd,0.005,1,0.6497156313871856,0.8060709736662816,0.8523801060457952,0.9345082959481594
musk-2,rnd,0.005,10,0.6497156313871856,0.8612192304274415,0.8714283598447821,0.9345082959481594
page-blocks,rnd,0.05,1,0.9400838056484038,0.8592807892909622,0.7612160700156632,0.9500268008081475
page-blocks,rnd,0.05,10,0.9400838056484038,0.9567230215246493,0.9133515800352014,0.9500268008081475
page-blocks,rnd,0.01,1,0.9739758433044292,0.8468681877634066,0.7785811170856949,0.9690244505834332
page-blocks,rnd,0.01,10,0.9739758433044292,0.9617158358765684,0.933329296452389,0.9690244505834332
page-blocks,rnd,0.005,1,0.9799980622971466,0.819677372474931,0.7679285956498572,0.9709164845586112
page-blocks,rnd,0.005,10,0.9799980622971466,0.9616690080576143,0.947902436661338,0.9709164845586112
parkinsons,rnd,0.05,1,0.803448275862069,0.8741379310344828,0.8580459770114943,0.8372747747747749
parkinsons,rnd,0.05,7,0.803448275862069,0.9471264367816092,0.9551724137931036,0.8372747747747749
parkinsons,rnd,0.01,1,0.8545977011494253,0.9126436781609195,0.9034482758620689,0.8378378378378377
parkinsons,rnd,0.01,2,0.8545977011494253,0.9114942528735634,0.9149425287356323,0.8378378378378377
parkinsons,rnd,0.005,1,0.8752873563218391,0.8919540229885057,0.9063218390804597,0.8118243243243244
pendigits,rnd,0.05,1,0.9180297927859312,0.6522176379577102,0.6457583789008468,0.9496561931653713
pendigits,rnd,0.05,10,0.9180297927859312,0.856613465669817,0.8656927002039012,0.9496561931653713
pendigits,rnd,0.01,1,0.9573052607850705,0.6720710989825438,0.6915536444333632,0.9857487561238033
pendigits,rnd,0.01,10,0.9573052607850705,0.8545005106066144,0.8658136063854858,0.9857487561238033
pendigits,rnd,0.005,1,0.9606849984118258,0.7164066102210123,0.7391008541987574,0.9906901806146466
pendigits,rnd,0.005,10,0.9606849984118258,0.8760055022558909,0.8882188196960952,0.9906901806146466
pima-indians,rnd,0.05,1,0.86385,0.8238000000000001,0.8058,0.9029333333333334
pima-indians,rnd,0.05,10,0.86385,0.9156999999999998,0.8978999999999999,0.9029333333333334
pima-indians,rnd,0.01,1,0.8727,0.7869499999999998,0.7741,0.909376
pima-indians,rnd,0.01,5,0.8727,0.899,0.8699000000000001,0.909376
pima-indians,rnd,0.005,1,0.8726499999999999,0.8396000000000001,0.82385,0.9128639999999999
pima-indians,rnd,0.005,3,0.8726499999999999,0.88225,0.84185,0.9128639999999999
sonar,rnd,0.05,1,0.49669421487603305,0.797107438016529,0.8053719008264464,0.5586734693877551
sonar,rnd,0.05,5,0.49669421487603305,0.8578512396694216,0.9152892561983471,0.5586734693877551
sonar,rnd,0.01,1,0.5557851239669421,0.793801652892562,0.8148760330578512,0.6331632653061225
sonar,rnd,0.005,1,0.5595041322314049,0.793801652892562,0.8140495867768595,0.610969387755102
spect-heart,rnd,0.05,1,0.49523809523809526,0.9071428571428571,0.9571428571428573,0.3679245283018868
spect-heart,rnd,0.05,6,0.49523809523809526,0.9571428571428571,0.9238095238095237,0.3679245283018868
spect-heart,rnd,0.01,1,0.4928571428571429,0.9190476190476191,0.9333333333333333,0.41792452830188676
spect-heart,rnd,0.01,2,0.4928571428571429,0.9285714285714285,0.9571428571428571,0.41792452830188676
spect-heart,rnd,0.005,1,0.5166666666666666,0.9095238095238095,0.9119047619047619,0.4047169811320755
statlog-satimage,rnd,0.05,1,0.7859689935315803,0.9622651610481932,0.9689835971477141,0.8082140205748224
statlog-satimage,rnd,0.05,10,0.7859689935315803,0.9820468242929994,0.9847100801377575,0.8082140205748224
statlog-satimage,rnd,0.01,1,0.8825225732388458,0.9548267545312052,0.9558610393624303,0.9092461201258528
statlog-satimage,rnd,0.01,10,0.8825225732388458,0.9768251760602247,0.9839511998587103,0.9092461201258528
statlog-satimage,rnd,0.005,1,0.9077151908514912,0.9686013974435393,0.9761510144159657,0.9276112701947892
statlog-satimage,rnd,0.005,10,0.9077151908514912,0.9772653266220722,0.986733668896395,0.9276112701947892
statlog-vehicle,rnd,0.05,1,0.6548500881834214,0.8895943562610229,0.9049382716049383,0.6740092002830856
statlog-vehicle,rnd,0.05,10,0.6548500881834214,0.9162257495590829,0.9200176366843034,0.6740092002830856
statlog-vehicle,rnd,0.01,1,0.72336860670194,0.8451499118165785,0.8318342151675486,0.7858280254777071
statlog-vehicle,rnd,0.01,6,0.72336860670194,0.9092592592592592,0.9078483245149911,0.7858280254777071
statlog-vehicle,rnd,0.005,1,0.7494708994708995,0.878042328042328,0.9012345679012345,0.7861464968152866
statlog-vehicle,rnd,0.005,3,0.7494708994708995,0.8905643738977072,0.902821869488536,0.7861464968152866
synthetic-control-chart,rnd,0.05,1,0.9581089743589744,0.784871794871795,0.7991025641025641,0.9710544217687076
synthetic-control-chart,rnd,0.05,10,0.9581089743589744,0.9503205128205128,0.9608012820512819,0.9710544217687076
synthetic-control-chart,rnd,0.01,1,0.9728205128205127,0.8293269230769231,0.8386217948717947,0.9697142857142858
synthetic-control-chart,rnd,0.01,4,0.9728205128205127,0.900705128205128,0.9339743589743591,0.9697142857142858
synthetic-control-chart,rnd,0.005,1,0.9790064102564102,0.8299358974358976,0.8504166666666666,0.9800408163265304
synthetic-control-chart,rnd,0.005,2,0.9790064102564102,0.8613782051282053,0.8837820512820512,0.9800408163265304
wall-following-robot,rnd,0.05,1,0.6500905797101447,0.615327945001858,0.6385744147157191,0.7238461309700827
wall-following-robot,rnd,0.05,10,0.6500905797101447,0.7301862690449645,0.7273494983277592,0.7238461309700827
wall-following-robot,rnd,0.01,1,0.7019351542177631,0.6165017651430694,0.647961259754738,0.8100835662879915
wall-following-robot,rnd,0.01,10,0.7019351542177631,0.7214752879970271,0.7359722222222221,0.8100835662879915
wall-following-robot,rnd,0.005,1,0.701354050538833,0.6087811222593832,0.6321943515421776,0.8304612502230417
wall-following-robot,rnd,0.005,10,0.701354050538833,0.7227787068004459,0.7358588814567074,0.8304612502230417
waveform-1,rnd,0.05,1,0.7165592180840046,0.8852078769122604,0.8972517435546544,0.7567269714350068
waveform-1,rnd,0.05,10,0.7165592180840046,0.9599902072177826,0.9483951764270155,0.7567269714350068
waveform-1,rnd,0.01,1,0.753201800365346,0.90608407982373,0.9100846824564817,0.811518907917917
waveform-1,rnd,0.01,10,0.753201800365346,0.9614779568238744,0.9530166163426468,0.811518907917917
waveform-1,rnd,0.005,1,0.7607617026886209,0.9142233884281957,0.920797735105241,0.8145499666165245
waveform-1,rnd,0.005,10,0.7607617026886209,0.959024111587498,0.9557485514842969,0.8145499666165245
waveform-2,rnd,0.05,1,0.7044105184524893,0.8936616844840899,0.9067024061368102,0.7604346823475153
waveform-2,rnd,0.05,10,0.7044105184524893,0.9534535250877271,0.9451139666417664,0.7604346823475153
waveform-2,rnd,0.01,1,0.7531729242126541,0.913778319031268,0.9248159145265881,0.8171755970815605
waveform-2,rnd,0.01,10,0.7531729242126541,0.956157211819135,0.9517422991694968,0.8171755970815605
waveform-2,rnd,0.005,1,0.772557611063333,0.9065592808582495,0.9171618508358389,0.8283620779805814
waveform-2,rnd,0.005,10,0.772557611063333,0.9602651584108072,0.957675720805268,0.8283620779805814
wine,rnd,0.05,1,0.8956043956043956,0.9014652014652015,0.9439560439560439,0.9795524691358025
wine,rnd,0.05,5,0.8956043956043956,0.9761904761904763,0.9956043956043956,0.9795524691358025
wine,rnd,0.01,1,0.9663003663003664,0.9113553113553113,0.949084249084249,0.9731481481481481
wine,rnd,0.005,1,0.9699633699633701,0.9117216117216117,0.9553113553113555,0.9849537037037036
yeast,rnd,0.05,1,0.7247428571428571,0.6732,0.6459809523809523,0.763217279174726
yeast,rnd,0.05,10,0.7247428571428571,0.8588952380952382,0.8386095238095239,0.763217279174726
yeast,rnd,0.01,1,0.7471047619047619,0.7232571428571428,0.6969142857142857,0.7866054158607351
yeast,rnd,0.01,7,0.7471047619047619,0.8322095238095237,0.8084952380952382,0.7866054158607351
yeast,rnd,0.005,1,0.7610285714285714,0.6917333333333334,0.7015619047619046,0.7890957446808511
yeast,rnd,0.005,4,0.7610285714285714,0.8171428571428573,0.8101714285714288,0.7890957446808511
