hidden,latent,layers,nonlinearity,layertype,β,anomaliesSeen,auc,aucpxv,ar,i,α,model,dataset
32,8,3,relu,Dense,0.01,1,0.8190255220417634,0.988399071925754,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,2,0.8236658932714618,0.988399071925754,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,3,0.8306264501160092,0.988399071925754,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,4,0.839907192575406,0.988399071925754,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,5,0.8561484918793504,0.988399071925754,0.05,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,1,0.8259860788863109,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.01,2,0.8259860788863109,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.01,3,0.8236658932714618,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.01,4,0.8236658932714618,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.01,5,0.8283062645011601,0.9860788863109049,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.01,1,0.777262180974478,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.01,2,0.7888631090487239,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.01,3,0.7911832946635731,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.01,4,0.7911832946635731,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.01,5,0.7935034802784222,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.01,1,0.925754060324826,0.9860788863109049,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,2,0.925754060324826,0.9860788863109049,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,3,0.925754060324826,0.9860788863109049,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,4,0.9280742459396751,0.9860788863109049,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,5,0.9280742459396751,0.9860788863109049,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.01,1,0.877030162412993,0.9721577726218098,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,0.01,2,0.877030162412993,0.9721577726218098,0.01,1,0.5,svae,abalone
