hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,fc,aucpxv,aucf2,aucf3,ar,i,κ,anom_disc,model,dataset
32,8,3,relu,Dense,128,0,0.01,1,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,2,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,3,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,4,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,5,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,6,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,7,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,8,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,9,1.0,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,10,1.0,1.0,1.0,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.01,11,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,12,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,13,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,14,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,15,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,16,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,17,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,18,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,19,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,20,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,21,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,22,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,23,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,24,1.0,0.9976798143851509,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,25,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,26,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,27,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,28,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,29,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,30,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,31,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,32,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,33,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,34,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,35,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,36,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,37,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,38,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,39,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,40,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,41,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,42,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,43,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,44,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,45,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,46,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,47,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,48,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,49,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,50,1.0,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,1,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,2,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,3,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,4,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,5,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,6,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,7,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,8,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,9,1.0,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,10,1.0,0.9976798143851509,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.01,11,1.0,1.0,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.01,12,1.0,1.0,1.0,0.05,1,1.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,13,1.0,1.0,1.0,0.05,1,1.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,14,1.0,1.0,1.0,0.05,1,1.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,15,1.0,1.0,1.0,0.05,1,1.0,2,svae,abalone
