hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,fc,aucpxv,aucf2,aucf3,ar,i,κ,anom_disc,model,dataset
32,8,3,relu,Dense,128,0,0.1,1,0.9907192575406032,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,2,0.9907192575406032,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,3,0.9907192575406032,0.9907192575406032,0.9907192575406032,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,4,0.9907192575406032,1.0,0.9907192575406032,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,5,0.9907192575406032,0.9814385150812065,0.9907192575406032,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,6,0.9907192575406032,0.9837587006960556,0.9907192575406032,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,7,0.9907192575406032,0.9930394431554525,0.9907192575406032,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,8,0.9907192575406032,0.9791183294663574,0.9907192575406032,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,9,0.9907192575406032,0.9930394431554525,0.9907192575406032,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,10,0.9907192575406032,0.9953596287703016,0.9907192575406032,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,1,0.9907192575406032,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,2,0.9907192575406032,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,3,0.9907192575406032,0.9953596287703016,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,4,0.9907192575406032,0.9791183294663574,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,5,0.9907192575406032,0.9953596287703016,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,6,0.9907192575406032,1.0,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,7,0.9907192575406032,0.9930394431554525,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,8,0.9907192575406032,0.9953596287703016,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,9,0.9907192575406032,0.9860788863109049,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,10,0.9907192575406032,0.9930394431554525,1.0,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,1,0.9907192575406032,0.5,0.5,0.05,1,3.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,2,0.9907192575406032,0.5,0.5,0.05,1,3.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,3,0.9907192575406032,0.988399071925754,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,4,0.9907192575406032,0.9953596287703016,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,5,0.9907192575406032,1.0,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,6,0.9907192575406032,0.9930394431554525,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,7,0.9907192575406032,0.9605568445475638,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,8,0.9907192575406032,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,9,0.9907192575406032,0.9953596287703016,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,10,0.9907192575406032,0.9976798143851509,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,1,0.9907192575406032,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,2,0.9907192575406032,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,3,0.9907192575406032,0.9930394431554525,0.9953596287703016,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,4,0.9907192575406032,0.9953596287703016,0.9953596287703016,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,5,0.9907192575406032,0.9953596287703016,0.9953596287703016,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,6,0.9907192575406032,0.9976798143851509,0.9953596287703016,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,7,0.9907192575406032,1.0,0.9953596287703016,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,8,0.9907192575406032,0.9837587006960556,0.9953596287703016,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,9,0.9907192575406032,0.9953596287703016,0.9953596287703016,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,10,0.9907192575406032,0.9907192575406032,0.9953596287703016,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,1,0.9907192575406032,0.5,0.5,0.05,1,10.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,2,0.9907192575406032,0.5,0.5,0.05,1,10.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,3,0.9907192575406032,0.9907192575406032,1.0,0.05,1,10.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,4,0.9907192575406032,0.9976798143851509,1.0,0.05,1,10.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,5,0.9907192575406032,0.9953596287703016,1.0,0.05,1,10.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,6,0.9907192575406032,1.0,1.0,0.05,1,10.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,7,0.9907192575406032,0.9930394431554525,1.0,0.05,1,10.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,8,0.9907192575406032,0.9930394431554525,1.0,0.05,1,10.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,9,0.9907192575406032,0.9837587006960556,1.0,0.05,1,10.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,10,0.9907192575406032,1.0,1.0,0.05,1,10.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,1,0.9907192575406032,0.5,0.5,0.05,1,50.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,2,0.9907192575406032,0.5,0.5,0.05,1,50.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.1,3,0.9907192575406032,0.9930394431554525,0.9953596287703016,0.05,1,50.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.1,4,0.9907192575406032,0.9953596287703016,0.9953596287703016,0.05,1,50.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,5,0.9907192575406032,0.9837587006960556,0.9953596287703016,0.05,1,50.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,6,0.9907192575406032,0.9953596287703016,0.9953596287703016,0.05,1,50.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,7,0.9907192575406032,0.9907192575406032,0.9953596287703016,0.05,1,50.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,8,0.9907192575406032,0.9860788863109049,0.9953596287703016,0.05,1,50.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,9,0.9907192575406032,0.9814385150812065,0.9953596287703016,0.05,1,50.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.1,10,0.9907192575406032,0.9953596287703016,0.9953596287703016,0.05,1,50.0,2,svae,abalone
32,8,3,relu,Dense,256,0,0.1,1,0.988399071925754,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,256,0,0.1,2,0.988399071925754,0.5,0.5,0.05,1,0.5,0,svae,abalone
32,8,3,relu,Dense,256,0,0.1,3,0.988399071925754,0.9930394431554525,1.0,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,256,0,0.1,4,0.988399071925754,1.0,1.0,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,256,0,0.1,5,0.988399071925754,1.0,1.0,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,256,0,0.1,6,0.988399071925754,0.9976798143851509,1.0,0.05,1,0.5,1,svae,abalone
32,8,3,relu,Dense,256,0,0.1,7,0.988399071925754,0.974477958236659,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,256,0,0.1,8,0.988399071925754,1.0,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,256,0,0.1,9,0.988399071925754,0.9211136890951276,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,256,0,0.1,10,0.988399071925754,0.9907192575406032,1.0,0.05,1,0.5,2,svae,abalone
32,8,3,relu,Dense,256,0,0.1,1,0.988399071925754,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,256,0,0.1,2,0.988399071925754,0.5,0.5,0.05,1,1.0,0,svae,abalone
32,8,3,relu,Dense,256,0,0.1,3,0.988399071925754,0.9837587006960556,0.9721577726218098,0.05,1,1.0,1,svae,abalone
32,8,3,relu,Dense,256,0,0.1,4,0.988399071925754,0.988399071925754,0.9721577726218098,0.05,1,1.0,1,svae,abalone
