hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,model,dataset
8,2,3,leakyrelu,Dense,256,32,1,0.0,0.8020833333333336,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,32,2,0.0,0.8125000000000002,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,32,3,0.0,0.729166666666667,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,32,4,0.0,0.7430555555555558,autoencoder,breast-cancer-wisconsin
8,2,3,leakyrelu,Dense,256,32,5,0.0,0.7500000000000002,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,32,1,0.5,0.7604166666666666,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,32,2,0.5,0.6874999999999999,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,32,3,0.5,0.7222222222222221,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,32,4,0.5,0.7222222222222221,autoencoder,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,256,32,5,0.5,0.7083333333333333,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,32,1,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,32,2,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,32,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,32,4,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,256,32,5,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,32,1,0.5,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,32,2,0.6666666666666666,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,32,3,0.6666666666666666,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,32,4,0.6666666666666666,1.0000000000000004,autoencoder,breast-cancer-wisconsin
8,2,4,leakyrelu,Dense,256,32,5,0.8,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,32,1,0.4,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,32,2,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,32,3,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,32,4,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
16,2,4,leakyrelu,Dense,256,32,5,0.0,1.0000000000000004,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,32,1,0.0,0.9895833333333336,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,32,2,0.0,0.9895833333333336,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,32,3,0.0,0.9722222222222225,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,32,4,0.0,0.961805555555556,autoencoder,breast-cancer-wisconsin
32,2,4,leakyrelu,Dense,256,32,5,0.0,0.9583333333333337,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,Dense,256,32,1,0.0,0.9895833333333336,autoencoder,breast-cancer-wisconsin
8,2,5,leakyrelu,Dense,256,32,2,0.0,0.9722222222222225,autoencoder,breast-cancer-wisconsin
