hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,rsTrn,rsTst,model,dataset
16,2,3,leakyrelu,Dense,1024,64,1,0.0,1.0000000000000004,10.211138725280762,13.017265319824219,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,2,0.0,0.947916666666667,10.211138725280762,13.017265319824219,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,3,0.0,0.885416666666667,10.211138725280762,13.017265319824219,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,4,0.0,0.9270833333333337,10.211138725280762,13.017265319824219,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,5,0.0,0.7395833333333336,10.211138725280762,13.017265319824219,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,1,0.0,0.885416666666667,10.29404067993164,12.49800968170166,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,2,0.0,0.8194444444444448,10.29404067993164,12.49800968170166,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,3,0.0,0.8402777777777781,10.29404067993164,12.49800968170166,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,4,0.0,0.9583333333333335,10.29404067993164,12.49800968170166,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,5,0.0,0.916666666666667,10.29404067993164,12.49800968170166,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,1,0.0,1.0000000000000004,10.499797821044922,13.500720024108887,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9444444444444446,10.499797821044922,13.500720024108887,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,3,0.0,0.8819444444444449,10.499797821044922,13.500720024108887,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,4,0.0,0.8750000000000003,10.499797821044922,13.500720024108887,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,5,0.0,0.9548611111111114,10.499797821044922,13.500720024108887,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9861111111111114,10.08353042602539,11.959447860717773,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9895833333333337,10.08353042602539,11.959447860717773,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,3,0.0,0.9791666666666671,10.08353042602539,11.959447860717773,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,4,0.0,0.9756944444444448,10.08353042602539,11.959447860717773,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,5,0.0,1.0000000000000004,10.08353042602539,11.959447860717773,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,1,0.0,1.0000000000000004,10.166830062866211,11.872283935546875,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,2,0.0,1.0000000000000004,10.166830062866211,11.872283935546875,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,3,0.0,0.9270833333333337,10.166830062866211,11.872283935546875,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,4,0.0,0.8993055555555559,10.166830062866211,11.872283935546875,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,5,0.0,0.8506944444444446,10.166830062866211,11.872283935546875,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9583333333333336,8.801604270935059,10.825803756713867,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,2,0.4,0.947916666666667,8.801604270935059,10.825803756713867,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,3,0.0,0.947916666666667,8.801604270935059,10.825803756713867,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,4,0.0,0.8958333333333337,8.801604270935059,10.825803756713867,vae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,5,0.0,0.9097222222222225,8.801604270935059,10.825803756713867,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,1,0.0,0.8020833333333336,15.682411193847656,17.738367080688477,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,2,0.0,0.8784722222222225,15.682411193847656,17.738367080688477,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,3,0.0,0.6666666666666669,15.682411193847656,17.738367080688477,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,4,0.4,0.760416666666667,15.682411193847656,17.738367080688477,vae,breast-cancer-wisconsin
16,2,3,leakyrelu,Dense,1024,64,5,0.0,0.7743055555555558,15.682411193847656,17.738367080688477,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,1,0.0,0.7638888888888892,15.938530921936035,16.868999481201172,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,2,0.0,0.8263888888888892,15.938530921936035,16.868999481201172,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,3,0.0,0.8159722222222225,15.938530921936035,16.868999481201172,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,4,0.0,0.7500000000000002,15.938530921936035,16.868999481201172,vae,breast-cancer-wisconsin
32,2,3,leakyrelu,Dense,1024,64,5,0.0,0.7395833333333336,15.938530921936035,16.868999481201172,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9722222222222224,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,2,0.4,0.9930555555555558,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,3,0.0,0.916666666666667,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,4,0.0,0.965277777777778,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,5,0.0,0.9618055555555559,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
