hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,model,dataset
8,4,3,leakyrelu,Dense,1024,64,1,0.0,0.8032407407407421,autoencoder,abalone
8,4,3,leakyrelu,Dense,1024,64,2,0.07142857142857142,0.6461489898989925,autoencoder,abalone
8,4,3,leakyrelu,Dense,1024,64,3,0.07142857142857142,0.5940656565656572,autoencoder,abalone
8,4,3,leakyrelu,Dense,1024,64,4,0.06666666666666667,0.6503577441077467,autoencoder,abalone
8,4,3,leakyrelu,Dense,1024,64,5,0.06666666666666667,0.6423611111111138,autoencoder,abalone
16,4,3,leakyrelu,Dense,1024,64,1,0.08695652173913043,0.993371212121215,autoencoder,abalone
16,4,3,leakyrelu,Dense,1024,64,2,0.2857142857142857,0.886047979797983,autoencoder,abalone
16,4,3,leakyrelu,Dense,1024,64,3,0.3181818181818182,0.8839436026936058,autoencoder,abalone
16,4,3,leakyrelu,Dense,1024,64,4,0.2702702702702703,0.8839436026936058,autoencoder,abalone
16,4,3,leakyrelu,Dense,1024,64,5,0.40816326530612246,0.8839436026936058,autoencoder,abalone
32,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9930555555555571,autoencoder,abalone
32,4,3,leakyrelu,Dense,1024,64,2,0.0,0.8632154882154913,autoencoder,abalone
32,4,3,leakyrelu,Dense,1024,64,3,0.13333333333333333,0.8388047138047169,autoencoder,abalone
32,4,3,leakyrelu,Dense,1024,64,4,0.12121212121212122,0.813131313131316,autoencoder,abalone
32,4,3,leakyrelu,Dense,1024,64,5,0.11764705882352941,0.8184974747474779,autoencoder,abalone
8,16,3,leakyrelu,Dense,1024,64,1,0.0,0.7678872053872082,autoencoder,abalone
8,16,3,leakyrelu,Dense,1024,64,2,0.13793103448275862,0.762310606060609,autoencoder,abalone
8,16,3,leakyrelu,Dense,1024,64,3,0.2,0.7454755892255922,autoencoder,abalone
8,16,3,leakyrelu,Dense,1024,64,4,0.21739130434782608,0.7422138047138075,autoencoder,abalone
8,16,3,leakyrelu,Dense,1024,64,5,0.2127659574468085,0.7524200336700366,autoencoder,abalone
16,16,3,leakyrelu,Dense,1024,64,1,0.0,0.8989898989899022,autoencoder,abalone
16,16,3,leakyrelu,Dense,1024,64,2,0.0,0.8929924242424274,autoencoder,abalone
16,16,3,leakyrelu,Dense,1024,64,3,0.0,0.8281776094276124,autoencoder,abalone
16,16,3,leakyrelu,Dense,1024,64,4,0.13333333333333333,0.7945075757575788,autoencoder,abalone
16,16,3,leakyrelu,Dense,1024,64,5,0.13333333333333333,0.8003998316498346,autoencoder,abalone
32,16,3,leakyrelu,Dense,1024,64,1,0.16,0.8937289562289592,autoencoder,abalone
32,16,3,leakyrelu,Dense,1024,64,2,0.27586206896551724,0.8550084175084206,autoencoder,abalone
32,16,3,leakyrelu,Dense,1024,64,3,0.25806451612903225,0.884574915824919,autoencoder,abalone
32,16,3,leakyrelu,Dense,1024,64,4,0.34146341463414637,0.8586910774410805,autoencoder,abalone
32,16,3,leakyrelu,Dense,1024,64,5,0.3333333333333333,0.8551136363636396,autoencoder,abalone
8,4,4,leakyrelu,Dense,1024,64,1,0.07142857142857142,0.8777356902356933,autoencoder,abalone
8,4,4,leakyrelu,Dense,1024,64,2,0.06896551724137931,0.8733164983165013,autoencoder,abalone
8,4,4,leakyrelu,Dense,1024,64,3,0.06451612903225806,0.8672138047138079,autoencoder,abalone
8,4,4,leakyrelu,Dense,1024,64,4,0.16666666666666666,0.8667929292929325,autoencoder,abalone
8,4,4,leakyrelu,Dense,1024,64,5,0.16666666666666666,0.8667929292929325,autoencoder,abalone
16,4,4,leakyrelu,Dense,1024,64,1,0.0,0.9060395622895654,autoencoder,abalone
16,4,4,leakyrelu,Dense,1024,64,2,0.0,0.8741582491582522,autoencoder,abalone
16,4,4,leakyrelu,Dense,1024,64,3,0.0,0.752735690235693,autoencoder,abalone
16,4,4,leakyrelu,Dense,1024,64,4,0.0,0.7773569023569052,autoencoder,abalone
16,4,4,leakyrelu,Dense,1024,64,5,0.0,0.8296506734006766,autoencoder,abalone
32,4,4,leakyrelu,Dense,1024,64,1,0.0,0.8972011784511816,autoencoder,abalone
32,4,4,leakyrelu,Dense,1024,64,2,0.07692307692307693,0.6438341750841778,autoencoder,abalone
32,4,4,leakyrelu,Dense,1024,64,3,0.05714285714285714,0.667824074074077,autoencoder,abalone
32,4,4,leakyrelu,Dense,1024,64,4,0.1111111111111111,0.6300505050505077,autoencoder,abalone
32,4,4,leakyrelu,Dense,1024,64,5,0.1111111111111111,0.6012205387205414,autoencoder,abalone
8,16,4,leakyrelu,Dense,1024,64,1,0.0,0.8821548821548854,autoencoder,abalone
8,16,4,leakyrelu,Dense,1024,64,2,0.0,0.8829966329966362,autoencoder,abalone
8,16,4,leakyrelu,Dense,1024,64,3,0.06060606060606061,0.6219486531986559,autoencoder,abalone
8,16,4,leakyrelu,Dense,1024,64,4,0.05714285714285714,0.6537247474747501,autoencoder,abalone
8,16,4,leakyrelu,Dense,1024,64,5,0.05714285714285714,0.6537247474747501,autoencoder,abalone
16,16,4,leakyrelu,Dense,1024,64,1,0.0,0.6721380471380497,autoencoder,abalone
16,16,4,leakyrelu,Dense,1024,64,2,0.17647058823529413,0.7161195286195315,autoencoder,abalone
16,16,4,leakyrelu,Dense,1024,64,3,0.16216216216216217,0.6887626262626291,autoencoder,abalone
16,16,4,leakyrelu,Dense,1024,64,4,0.12,0.6879208754208783,autoencoder,abalone
16,16,4,leakyrelu,Dense,1024,64,5,0.11764705882352941,0.6985479797979827,autoencoder,abalone
32,16,4,leakyrelu,Dense,1024,64,1,0.0,0.5880681818181833,autoencoder,abalone
32,16,4,leakyrelu,Dense,1024,64,2,0.2222222222222222,0.586489898989899,autoencoder,abalone
32,16,4,leakyrelu,Dense,1024,64,3,0.27906976744186046,0.5824915824915846,autoencoder,abalone
32,16,4,leakyrelu,Dense,1024,64,4,0.3137254901960784,0.5651304713804709,autoencoder,abalone
32,16,4,leakyrelu,Dense,1024,64,5,0.3137254901960784,0.5626052188552184,autoencoder,abalone
8,4,5,leakyrelu,Dense,1024,64,1,0.0625,0.6959175084175113,autoencoder,abalone
8,4,5,leakyrelu,Dense,1024,64,2,0.2,0.7505260942760974,autoencoder,abalone
8,4,5,leakyrelu,Dense,1024,64,3,0.1724137931034483,0.7505260942760974,autoencoder,abalone
8,4,5,leakyrelu,Dense,1024,64,4,0.17543859649122806,0.748632154882158,autoencoder,abalone
8,4,5,leakyrelu,Dense,1024,64,5,0.18867924528301888,0.750105218855222,autoencoder,abalone
16,4,5,leakyrelu,Dense,1024,64,1,0.14285714285714285,0.8947811447811479,autoencoder,abalone
16,4,5,leakyrelu,Dense,1024,64,2,0.14285714285714285,0.8503787878787911,autoencoder,abalone
16,4,5,leakyrelu,Dense,1024,64,3,0.14285714285714285,0.7807239057239087,autoencoder,abalone
16,4,5,leakyrelu,Dense,1024,64,4,0.13793103448275862,0.586805555555558,autoencoder,abalone
16,4,5,leakyrelu,Dense,1024,64,5,0.13793103448275862,0.6273148148148172,autoencoder,abalone
32,4,5,leakyrelu,Dense,1024,64,1,0.22580645161290322,0.6664562289562316,autoencoder,abalone
32,4,5,leakyrelu,Dense,1024,64,2,0.2647058823529412,0.6647727272727297,autoencoder,abalone
32,4,5,leakyrelu,Dense,1024,64,3,0.2647058823529412,0.6639309764309789,autoencoder,abalone
32,4,5,leakyrelu,Dense,1024,64,4,0.23076923076923078,0.6365740740740761,autoencoder,abalone
32,4,5,leakyrelu,Dense,1024,64,5,0.25287356321839083,0.6315235690235711,autoencoder,abalone
8,16,5,leakyrelu,Dense,1024,64,1,0.0,0.8541666666666683,autoencoder,abalone
8,16,5,leakyrelu,Dense,1024,64,2,0.08163265306122448,0.673295454545457,autoencoder,abalone
8,16,5,leakyrelu,Dense,1024,64,3,0.12,0.7751473063973092,autoencoder,abalone
8,16,5,leakyrelu,Dense,1024,64,4,0.11764705882352941,0.6583543771043795,autoencoder,abalone
8,16,5,leakyrelu,Dense,1024,64,5,0.25396825396825395,0.6950757575757602,autoencoder,abalone
16,16,5,leakyrelu,Dense,1024,64,1,0.3018867924528302,0.7840909090909121,autoencoder,abalone
16,16,5,leakyrelu,Dense,1024,64,2,0.37142857142857144,0.7845117845117876,autoencoder,abalone
16,16,5,leakyrelu,Dense,1024,64,3,0.33766233766233766,0.7838804713804743,autoencoder,abalone
16,16,5,leakyrelu,Dense,1024,64,4,0.34782608695652173,0.7812500000000031,autoencoder,abalone
16,16,5,leakyrelu,Dense,1024,64,5,0.32432432432432434,0.7838804713804743,autoencoder,abalone
32,16,5,leakyrelu,Dense,1024,64,1,0.08695652173913043,0.6294191919191925,autoencoder,abalone
32,16,5,leakyrelu,Dense,1024,64,2,0.08333333333333333,0.7899831649831679,autoencoder,abalone
32,16,5,leakyrelu,Dense,1024,64,3,0.08333333333333333,0.8209175084175113,autoencoder,abalone
32,16,5,leakyrelu,Dense,1024,64,4,0.1875,0.8000841750841781,autoencoder,abalone
32,16,5,leakyrelu,Dense,1024,64,5,0.2777777777777778,0.8179713804713835,autoencoder,abalone
8,4,3,leakyrelu,ResDense,1024,64,1,0.0,0.7236952861952892,autoencoder,abalone
8,4,3,leakyrelu,ResDense,1024,64,2,0.0625,0.7067550505050534,autoencoder,abalone
8,4,3,leakyrelu,ResDense,1024,64,3,0.05714285714285714,0.6613005050505075,autoencoder,abalone
8,4,3,leakyrelu,ResDense,1024,64,4,0.1111111111111111,0.6126893939393964,autoencoder,abalone
8,4,3,leakyrelu,ResDense,1024,64,5,0.16216216216216217,0.7064393939393968,autoencoder,abalone
16,4,3,leakyrelu,ResDense,1024,64,1,0.0,0.783459595959599,autoencoder,abalone
16,4,3,leakyrelu,ResDense,1024,64,2,0.12121212121212122,0.8030303030303062,autoencoder,abalone
16,4,3,leakyrelu,ResDense,1024,64,3,0.16666666666666666,0.7909301346801377,autoencoder,abalone
16,4,3,leakyrelu,ResDense,1024,64,4,0.21621621621621623,0.799558080808084,autoencoder,abalone
16,4,3,leakyrelu,ResDense,1024,64,5,0.36363636363636365,0.80176767676768,autoencoder,abalone
32,4,3,leakyrelu,ResDense,1024,64,1,0.08695652173913043,0.6414141414141441,autoencoder,abalone
32,4,3,leakyrelu,ResDense,1024,64,2,0.08695652173913043,0.7847222222222253,autoencoder,abalone
32,4,3,leakyrelu,ResDense,1024,64,3,0.13793103448275862,0.79440235690236,autoencoder,abalone
32,4,3,leakyrelu,ResDense,1024,64,4,0.25806451612903225,0.8137626262626295,autoencoder,abalone
32,4,3,leakyrelu,ResDense,1024,64,5,0.35294117647058826,0.810395622895626,autoencoder,abalone
8,16,3,leakyrelu,ResDense,1024,64,1,0.0,0.7953493265993297,autoencoder,abalone
8,16,3,leakyrelu,ResDense,1024,64,2,0.07407407407407407,0.852693602693606,autoencoder,abalone
8,16,3,leakyrelu,ResDense,1024,64,3,0.13333333333333333,0.8349116161616192,autoencoder,abalone
8,16,3,leakyrelu,ResDense,1024,64,4,0.16216216216216217,0.8451178451178483,autoencoder,abalone
8,16,3,leakyrelu,ResDense,1024,64,5,0.23809523809523808,0.8577441077441108,autoencoder,abalone
16,16,3,leakyrelu,ResDense,1024,64,1,0.0,0.8686868686868718,autoencoder,abalone
16,16,3,leakyrelu,ResDense,1024,64,2,0.08333333333333333,0.9028829966329998,autoencoder,abalone
16,16,3,leakyrelu,ResDense,1024,64,3,0.15384615384615385,0.9061447811447841,autoencoder,abalone
16,16,3,leakyrelu,ResDense,1024,64,4,0.21428571428571427,0.9084595959595989,autoencoder,abalone
16,16,3,leakyrelu,ResDense,1024,64,5,0.21428571428571427,0.9097222222222252,autoencoder,abalone
32,16,3,leakyrelu,ResDense,1024,64,1,0.07142857142857142,0.8811026936026968,autoencoder,abalone
32,16,3,leakyrelu,ResDense,1024,64,2,0.38461538461538464,0.8724747474747506,autoencoder,abalone
32,16,3,leakyrelu,ResDense,1024,64,3,0.4074074074074074,0.8800505050505082,autoencoder,abalone
32,16,3,leakyrelu,ResDense,1024,64,4,0.34782608695652173,0.8813131313131345,autoencoder,abalone
32,16,3,leakyrelu,ResDense,1024,64,5,0.2857142857142857,0.8779461279461311,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,1,0.08333333333333333,0.8755260942760974,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,2,0.08,0.8767887205387237,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,3,0.0625,0.8611111111111142,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,4,0.10810810810810811,0.8483796296296328,autoencoder,abalone
8,4,4,leakyrelu,ResDense,1024,64,5,0.18604651162790697,0.8676346801346831,autoencoder,abalone
16,4,4,leakyrelu,ResDense,1024,64,1,0.08333333333333333,0.8465909090909122,autoencoder,abalone
